Operator ID,Operator name,Readiness status,Current overall coverage,Eligibility-field coverage,Differentiation-field coverage,Evidence-field coverage,Brand-relationship coverage,Highest-priority missing field,Second-priority missing field,Third-priority missing field,Recommended source type,Expected scoring impact,Research priority,Notes
rec3TUHT9Z4AnFp5P,Playa Hotels & Resorts,Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
rec3Uwxe6ovpiokuN,Hilton (Managed),Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
rec6UB6RpMKSs2tAo,Remington Hospitality,Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
rec7IXYQYpKMYsrDl,IHG Hotels & Resorts (Managed),Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
rec8SrT3VjRkkYTxm,Minor Hotels (Managed),Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
recF2WqLqNVyKGz9E,Accor (Managed),Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
recGWxIJqnYHkJZFD,Aimbridge Hospitality (LATAM),Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
recGmiPhRt6hiayd9,Marriott International (Managed),Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
recJ6NPSYveCTo3At,Tafer Hotels & Resorts,Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
recJtFkhjaO57rSDC,Grupo Presidente,Research Required,71.5,50,33.3,0,50,Active countries (structured),Operating structures supported,Identified evidence source for material claims,Dealality baseline research,high,Critical,Coverage may meet 50% but critical eligibility/evidence fields are missing — not Ranking Ready.
