airtable_table,airtable_field_name,airtable_field_type,canonical_key,compatibility_alias_keys,my_operator_section,ui_label,frontend_input_key,payload_key,writer_mapping,readback_prefill_key,displayed_in_operator_explorer,used_in_alignment_snapshot,used_in_alignment_score_breakdown,used_in_capability_snapshot,system_derived,legacy_compatibility_only,currently_missing_from_form,recommended_form_treatment,priority
Operator Setup - Case Studies,branded_independent,singleSelect,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Case Studies,display_order,number,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Case Studies,hotel_type,singleLineText,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Case Studies,image_url,multipleAttachments,,,,,,,Yes,,Yes,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Case Studies,Operator,multipleRecordLinks,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,No,No,Hidden/system-only,Do not expose
Operator Setup - Case Studies,outcome,multilineText,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Case Studies,owner_relevance,multilineText,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Case Studies,property_name,singleLineText,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Case Studies,region,singleLineText,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Case Studies,services,multilineText,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Case Studies,situation,singleSelect,,,,,,,Yes,,Yes,No/Unclear,Yes,No/Unclear,No,No,Yes,Business review,P0 required for Operator Setup completeness
Operator Setup - Commercial Fit & Terms,additionalNotes,multilineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
Operator Setup - Commercial Fit & Terms,annualRevenueManaged,singleLineText,,,,,,,Yes,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No,No,Yes,Business review,P2 later cleanup
