recordId,name,status,previousLocation,newLocation,detail
rec1X6pphTLTJMsHw,"Atolon Hotel Cartagena Tierra Bomba, Curio Collection by Hilton",ok,,Resort,"Island beach resort on Tierra Bomba — leisure destination, not urban core."
rec5jtMpYE4mJAnHc,"Zacatecas Centro Historico, Curio Collection by Hilton",ok,,Urban,Historic-city-center adaptive reuse in Zacatecas UNESCO core.
recAaTLAMer14ZEuG,"Mahogany Bay Resort & Beach Club, Curio Collection by Hilton",ok,,Resort,Beach-club resort product on Ambergris Caye — matches open Mahogany Bay rows.
recBYT2thdlopl8Wr,Tranquility Beach Resort Dominica,ok,,Resort,Beachfront resort on Dominica's northwest coast.
recJVheMdCGoKM0Eg,"Hotel Koti Gramado, Curio Collection by Hilton",ok,,Resort,"Leisure mountain-resort market in Gramado — destination resort town, not metro urban."
recKLvUHJCL77N3RJ,"Garcha Palace Santiago, Curio Collection by Hilton",ok,,Urban,Santiago de Chile urban boutique — Vitacura / city lifestyle product.
recNRwEkGwEFm2Fyu,Jean Hotel Polanco Curio Collection by Hilton,ok,,Urban,Mexico City Polanco urban lifestyle boutique.
recYdFCf6D1LfvkLh,Hotel Santiago Curio Collection by Hilton,ok,,Urban,"Urban hotel in Santiago de los Caballeros, Dominican Republic."
recZDon2IJp4CUuGi,"EOS Tulum, Curio Collection by Hilton",ok,,Resort,Tulum beach resort — leisure destination product.
recgcOVunMPjXkJIH,"Kailani Grand Cayman, Curio Collection by Hilton",ok,,Resort,Pipeline beach resort on Grand Cayman — leisure coastal.
