Parent Company,Normalized Parent Company,Brand Name,Normalized Brand Name,Brand Family / Collection,Chain Scale / Positioning Tier,Service Model,Region / CALA Flag,Include in Brand Explorer,Brand Status,Brand Directory URL,Official Website,Alias Mapping Present?,Alias Count,Missing Key Fields,Recommended Parent Priority,Notes
AccorHotels,accorhotels,onefinestay,onefinestay,Masterbrand,Luxury,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,6. Accor,
Prem Group,prem group,Premier Suites,premier suites,Soft/Collection Brand,Independent,All-Inclusive,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://example.com,https://example.com,yes,1,,15. Other regional / independent operators,
AccorHotels,accorhotels,ibis budget,ibis budget,Masterbrand,Economy,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://accor.com,https://accor.com,yes,1,,6. Accor,
Sonesta International Hotels Corporation,sonesta international hotels corporation,Country Hearth Inns & Suites,country hearth inns & suites,Masterbrand,Upper Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,
Hyatt Hotels Corporation,hyatt hotels corporation,Hyatt Ziva,hyatt ziva,Masterbrand,Luxury,All-Inclusive,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://hyatt.com,https://hyatt.com,yes,1,,5. Hyatt,
Wyndham Hotels & Resorts,wyndham hotels & resorts,Ramada by Wyndham,ramada by wyndham,Endorsed Brand,Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://wyndham.com,https://wyndham.com,yes,1,,7. Wyndham,
Choice Hotels International,choice hotels,Radisson Inn & Suites,radisson inn & suites,Endorsed Brand,Upper Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://choicehotels.com/radisson-inn-suites,https://choicehotels.com/radisson-inn-suites,yes,1,,1. Choice Hotels,
Radisson Hotel Group,radisson hotel group,Radisson Collection,radisson collection,Soft/Collection Brand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://radissonhotels.com,https://radissonhotels.com,yes,1,,8. Radisson / legacy Radisson,
InterContinental Hotels Group,intercontinental hotels group,Atwell Suites,atwell suites,Masterbrand,Upper Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://ihg.com,https://ihg.com,yes,1,,2. IHG,
Radisson Hotel Group,radisson hotel group,Country Inn & Suites by Radisson,country inn & suites by radisson,Endorsed Brand,Upper Midscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://radissonhotels.com,https://radissonhotels.com,yes,1,,8. Radisson / legacy Radisson,
Hyatt Hotels Corporation,hyatt hotels corporation,Thompson Hotels,thompson hotels,Soft/Collection Brand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),yes (derived from Brand Status),Active,https://hyatt.com,https://hyatt.com,yes,1,,5. Hyatt,
