table,tableKey,fieldName,fieldType,status,plannedCount,liveCount,matchStatus,plannedMissingFromLive,liveExtraNotPlanned,liveOptions
Deals,deals,F&B Complexity,singleSelect,ok,6,6,Exact,,,None / rooms-only | Limited F&B | Moderate F&B | Significant F&B | Lifestyle / experiential F&B | Unknown
Deals,deals,Opening Timeline,singleSelect,ok,7,7,Exact,,,Pre-development | Under construction | 0–6 months | 6–12 months | 12–24 months | 24+ months | Unknown
Strategic Intent - Operational - Key Challenges,si,Operator Review Status,singleSelect,ok,7,7,Exact,,,Not started | Exploring operator options | Operator review in scope | Ready for operator shortlist | Operator already selected | Not applicable | Unknown
Strategic Intent - Operational - Key Challenges,si,Preferred Management Structure,multipleSelects,ok,9,9,Exact,,,Full third-party management | Brand-managed | Franchise with third-party operator | Owner-operated | Owner-operated with commercial support | Commercial-only support | Pre-opening / transition support | Hybrid / project-specific | Undecided
Strategic Intent - Operational - Key Challenges,si,Required Operator Services,multipleSelects,ok,16,16,Exact,,,Full hotel management | Pre-opening planning | Opening / transition support | Revenue management | Sales | Distribution / channel management | Digital marketing | Accounting / finance | HR / staffing | Procurement | F&B operations | Brand compliance support | Owner reporting | Asset management support | Technical services coordination | Other
Strategic Intent - Operational - Key Challenges,si,Must-Have Operator Services,multipleSelects,ok,16,16,Exact,,,Full hotel management | Pre-opening planning | Opening / transition support | Revenue management | Sales | Distribution / channel management | Digital marketing | Accounting / finance | HR / staffing | Procurement | F&B operations | Brand compliance support | Owner reporting | Asset management support | Technical services coordination | Other
Strategic Intent - Operational - Key Challenges,si,Nice-to-Have Operator Services,multipleSelects,ok,16,16,Exact,,,Full hotel management | Pre-opening planning | Opening / transition support | Revenue management | Sales | Distribution / channel management | Digital marketing | Accounting / finance | HR / staffing | Procurement | F&B operations | Brand compliance support | Owner reporting | Asset management support | Technical services coordination | Other
Strategic Intent - Operational - Key Challenges,si,Market Presence Requirement,singleSelect,ok,6,6,Exact,,,Active local market operations required | Active country operations required | Regional experience acceptable | Prior similar-market experience acceptable | Open to new-market operator | Unknown
Strategic Intent - Operational - Key Challenges,si,Pre-Opening Support Needed,singleSelect,ok,4,4,Exact,,,Yes | No | Unknown | Not applicable
Strategic Intent - Operational - Key Challenges,si,Owner Reporting Expectations,singleSelect,ok,6,6,Exact,,,Basic owner reporting | Monthly operating review | Institutional reporting | Lender / investor-grade reporting | Custom / project-specific | Unknown
Strategic Intent - Operational - Key Challenges,si,Brand / Operator Responsibility Split,singleSelect,ok,7,7,Exact,,,Brand-managed | Brand standards with third-party operator | Franchise with owner/operator execution | Owner-operated with brand support | Operator-led with brand compliance support | Undecided | Not applicable
Strategic Intent - Operational - Key Challenges,si,Owner Control Preference,singleSelect,ok,6,6,Exact,,,Owner wants high control | Shared control | Operator-led operations | Institutional governance preferred | Undecided | Unknown
Strategic Intent - Operational - Key Challenges,si,Commercial Priority,multipleSelects,ok,9,9,Exact,,,Revenue management | Sales | Distribution | Digital marketing | Loyalty / brand channels | Group sales | Corporate accounts | None specified | Other
Strategic Intent - Operational - Key Challenges,si,Local Labor / HR Support Needed,singleSelect,ok,4,4,Exact,,,Yes | No | Unknown | Not applicable
Strategic Intent - Operational - Key Challenges,si,Procurement Support Needed,singleSelect,ok,4,4,Exact,,,Yes | No | Unknown | Not applicable
Strategic Intent - Operational - Key Challenges,si,Owner Internal Ops Capability,singleSelect,ok,5,5,Exact,,,Strong internal hotel operations team | Partial internal capability | Limited internal capability | No internal hotel operations team | Unknown
Strategic Intent - Operational - Key Challenges,si,Brand Agreement Structure,singleSelect,ok,7,7,Exact,,,Franchise | Management | License | Soft brand / collection affiliation | Brand-managed | Undecided | Not applicable
Strategic Intent - Operational - Key Challenges,si,Operating Model,singleSelect,ok,6,6,Exact,,,Owner-operated | Third-party managed | Brand-managed | Hybrid / project-specific | Undecided | Not applicable
Strategic Intent - Operational - Key Challenges,si,Operator Scope,multipleSelects,ok,9,9,Exact,,,Full management | Commercial support | Pre-opening support | Brand compliance support | Owner reporting | Asset management support | Technical services coordination | Not applicable | Other
Strategic Intent - Operational - Key Challenges,si,Services Required From Operator,multipleSelects,ok,0,11,Extra,,Full Management | HR & Training | Revenue Management | Accounting & Reporting | Sales & Marketing | Revenue management | Sales | Accounting | HR | Marketing | F&B management,Full Management | HR & Training | Revenue Management | Accounting & Reporting | Sales & Marketing | Revenue management | Sales | Accounting | HR | Marketing | F&B management
Strategic Intent - Operational - Key Challenges,si,Must-Haves From Brand/Operator,multipleSelects,ok,0,46,Extra,,Monthly or Frequent Reporting | Design Approval Rights | Key Money or TI Contribution | Experienced Operator (e.g. 10+ Years) | Strong Distribution and Marketing Support | Flexible Contract Terms | Owner-Friendly Exit Provisions | Transparent Fee Structure | ESG or Sustainability Standards | Other | Transparent fee schedule | Select-service F&B minimums | Revenue management support | Design approval collaboration | Flexible F&B standards | Experienced urban operator (e.g. 10+ years) | Proven all-inclusive operator | Phased PIP plan | Group/wedding sales support | Heritage-sensitive design process | Collection brand flexibility | Experienced boutique operator | Turnaround operator experience | Phased PIP | Monthly operating transparency | Mixed-use brand acceptance | Experienced full-service operator | Phased opening plan | Heritage approval coordination | Luxury operator track record | Strong F&B vision alignment | Lifestyle operator | Flexible design review | Wellness programming flexibility | Design-forward approval process | Experienced lifestyle operator | Loyalty system access | Corporate sales support | Clear PIP line items | Lifestyle F&B program support | Mixed-use marketing collaboration | Experienced operator | Airport-corridor distribution strength | Clear select-service F&B minimums | Monthly reporting and revenue management support | Experienced operator (e.g. 10+ years),Monthly or Frequent Reporting | Design Approval Rights | Key Money or TI Contribution | Experienced Operator (e.g. 10+ Years) | Strong Distribution and Marketing Support | Flexible Contract Terms | Owner-Friendly Exit Provisions | Transparent Fee Structure | ESG or Sustainability Standards | Other | Transparent fee schedule | Select-service F&B minimums | Revenue management support | Design approval collaboration | Flexible F&B standards | Experienced urban operator (e.g. 10+ years) | Proven all-inclusive operator | Phased PIP plan | Group/wedding sales support | Heritage-sensitive design process | Collection brand flexibility | Experienced boutique operator | Turnaround operator experience | Phased PIP | Monthly operating transparency | Mixed-use brand acceptance | Experienced full-service operator | Phased opening plan | Heritage approval coordination | Luxury operator track record | Strong F&B vision alignment | Lifestyle operator | Flexible design review | Wellness programming flexibility | Design-forward approval process | Experienced lifestyle operator | Loyalty system access | Corporate sales support | Clear PIP line items | Lifestyle F&B program support | Mixed-use marketing collaboration | Experienced operator | Airport-corridor distribution strength | Clear select-service F&B minimums | Monthly reporting and revenue management support | Experienced operator (e.g. 10+ years)
Market - Performance - Deal & Capital Structure,mp,Preferred Deal Structure,multipleSelects,ok,0,10,Extra,,Franchise Only | Brand-Managed | Third-Party Management Only | Lease | Joint Venture | Flexible/Open | Brand + Third-Party Management (Combined) | Franchise | Verify Preferred Deal Structure | Franchise + 3rd Party Mgmt.,Franchise Only | Brand-Managed | Third-Party Management Only | Lease | Joint Venture | Flexible/Open | Brand + Third-Party Management (Combined) | Franchise | Verify Preferred Deal Structure | Franchise + 3rd Party Mgmt.
