page_tab_section,ui_label,frontend_field_key_name_id,expected_airtable_table,expected_airtable_field,api_route_used_to_save,request_payload_key,response_payload_key,save_currently_implemented,persists_after_refresh,loads_existing_values,validation_present,select_option_consistency,disconnected_or_mock_risk,mismatch_issue,evidence_current_source,evidence_prior_report,conflict_prior_vs_current,confirmation_status
Profile & Positioning / Operator Quick Facts,yearEstablished,—,Needs Review,Year Established,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Profile & Positioning / Operator Quick Facts,website,—,Needs Review,Website,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Profile & Positioning / Operator Quick Facts,totalEmployees / companySize,—,Needs Review,Company Size,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Profile & Positioning / Operator Quick Facts,"totalProperties, totalRooms, minPropertySize, maxPropertySize",—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Profile & Positioning / Operator Quick Facts,primaryServiceModel,—,Needs Review,Primary Service Model,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Profile & Positioning / Operator Quick Facts,managementStructuresSupported,managementStructuresSupported,Operator Setup - Commercial Fit & Terms,Management Structures Supported,/api/third-party-operator-intake,managementStructuresSupported,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Partially Confirmed
Profile & Positioning / Operator Quick Facts,typicalAgreement,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Profile & Positioning / Operator Quick Facts,dataConfidenceLevel,dataConfidenceLevel,Needs Review,Data Confidence Level,/api/third-party-operator-intake,dataConfidenceLevel,"recordId, fields.companyName, fields.email",Yes/Partial,Needs runtime validation,Needs runtime validation,Yes/Partial,Needs Review,Low/Medium,,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
Profile & Positioning / Company Story & Positioning,companyHistory,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
Profile & Positioning / Company Story & Positioning,differentiators,—,Needs Review,—,/api/third-party-operator-intake,—,"recordId, fields.companyName, fields.email",No/Unclear,Needs runtime validation,Needs runtime validation,No/Unclear,Needs Review,High,UI key not in new-base build-sheet mapping,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
