enrichmentPriority,ownerName,ownerTargetId,priorityTier,outreachReady,needsEnrichment,outreachTrack,intentScore,outreachScore,primaryDealTrigger,brandDecisionEligiblePropertyCount,contactName,contactEmail,contactPhone,contactLinkedIn,hasVerifiedPersonEmail,contactGaps,suggestedAction,mxCorporateSeedSlug,companyWebsite,topLeadAsset,topLeadBrand,topLeadCity,calaPropertyCount,linkedContactCount,pitchAngle
P2_tier_a,Servicios Corporativos Piñero S.L.,recuuSDdQC4NGfmaR,A,false,true,third_party_brand_decision,66,66,brand_renewal_window,11,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Bahia Principe Grand El Portillo,Bahia Principe,,17,0,Approaching estimated brand/management renewal window — evaluate alternatives before recommit.
P2_tier_a,Impressive Resorts & Spas,rec8n5XCwP6bmXqut,A,false,true,third_party_brand_decision,58,58,independent_unbranded,2,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,https://impressiveresorts.com,Impressive Punta Cana,,Punta Cana,2,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Impressive Punta Cana"" and portfolio."
P2_tier_a,"Zemi Hotels & Resorts, S.R.L.",recoODIcQn3x9ioaZ,A,false,true,third_party_brand_decision,58,58,independent_unbranded,1,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,"Zemi Miches Punta Cana All-Inclusive Resort, Curio Collection by Hilton",Curio Collection by Hilton,,1,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Zemi Miches Punta Cana All-Inclusive Resort, Curio Collection by Hilton"" and portfolio."
P2_tier_a,Riu Hotels & Resorts - RIU Hotel Bambu,reclEOZxthzOjLkfF,A,false,true,third_party_brand_decision,48,48,development_pipeline,1,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Review mx seed riu-hotels; complete missing fields,riu-hotels,https://riu.com,RIU Hotel Bambu,RIU Hotel,Punta Cana,1,0,Active development pipeline — multi-project brand strategy and deal workspace.
P3_high_intent,Zafera Investments SRL,recApdUerJmyVOHKI,C,false,true,asset_owner,74,74,independent_unbranded,1,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,"Donoma Las Terrenas Beach Resort & Spa, Autograph Collection",Autograph Collection,,1,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Donoma Las Terrenas Beach Resort & Spa, Autograph Collection"" and portfolio."
P3_high_intent,Delveccio Investments Ltd.,recMRHH3Gjs0FEyGm,C,false,true,asset_owner,74,74,independent_unbranded,1,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,"Hotel Santiago, Curio Collection by Hilton",Curio Collection by Hilton,,1,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Hotel Santiago, Curio Collection by Hilton"" and portfolio."
P4_medium_intent,"Solara Real Estate, LTD.",recnHh4XJjS22AIzV,C,false,true,asset_owner,52,52,independent_unbranded,1,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Casas Del XVI,Vignette Collection,Santo Domingo,1,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Casas Del XVI"" and portfolio."
P4_medium_intent,VH Hotels & Resorts,recAoKBDcTz7rT1W6,B,false,true,third_party_brand_decision,50,50,independent_unbranded,1,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Gran Ventana Beach Resort,,Puerto Plata,1,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Gran Ventana Beach Resort"" and portfolio."
P4_medium_intent,Central Romana Corporation,reciTWCiMtYlZsNxf,B,false,true,asset_owner,50,50,independent_unbranded,1,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Casa de Campo Resort & Villas,,La Romana,1,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Casa de Campo Resort & Villas"" and portfolio."
P4_medium_intent,Carabela Beach Resort SRL,recqRtb3UdvmVcFcc,B,false,true,third_party_brand_decision,50,50,independent_unbranded,1,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Vista Sol Punta Cana Beach Resort & Spa,,Punta Cana,1,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Vista Sol Punta Cana Beach Resort & Spa"" and portfolio."
