enrichmentPriority,ownerName,ownerTargetId,priorityTier,outreachReady,needsEnrichment,outreachTrack,intentScore,outreachScore,primaryDealTrigger,brandDecisionEligiblePropertyCount,contactName,contactEmail,contactPhone,contactLinkedIn,hasVerifiedPersonEmail,contactGaps,suggestedAction,mxCorporateSeedSlug,companyWebsite,topLeadAsset,topLeadBrand,topLeadCity,calaPropertyCount,linkedContactCount,pitchAngle
P0_outreach_ready,"Grupo Posadas, S.A.B. DE C.V.",recMbbYWfa7ubv8op,A,true,false,third_party_brand_decision,100,100,new_build,44,José Carlos Azcárraga Andrade,JoseCarlos.AzcarragaAndrade@posadas.com,00 52 55 5326 6700,,true,none_outreach_ready,Send intro — outreach ready,grupo-posadas,https://posadas.com,one Ciudad Juárez Alameda,,Juarez,44,3,"Pre-brand development — brand/operator evaluation before flag commitment (""one Ciudad Juárez Alameda"")."
P0_outreach_ready,Fibra Inn,recAUCruVYqMveIob,A,true,false,asset_owner,100,100,independent_unbranded,28,Jaime Cohen Bistre,,,https://www.linkedin.com/in/jcohenb,false,none_outreach_ready,Send intro — outreach ready,fibra-inn,https://fibrainn.mx,Casa Grande Chihuahua,,Chihuahua,28,2,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Casa Grande Chihuahua"" and portfolio."
P0_outreach_ready,Grupo Hotelero Santa Fe,recDeYsszad5tebiJ,A,true,false,third_party_brand_decision,100,100,independent_unbranded,16,Francisco Medina Elizalde,,+52 55 5261 0800,https://www.linkedin.com/in/francisco-medina-elizalde-83aa26a3,false,none_outreach_ready,Send intro — outreach ready,grupo-hotelero-santa-fe,https://gsf-hotels.com,Krystal Beach Acapulco Hotel,,Acapulco,16,3,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Krystal Beach Acapulco Hotel"" and portfolio."
P0_outreach_ready,Irawadi Corp S.A.,recHOIk9MWXBw8B5b,A,true,false,third_party_brand_decision,100,100,new_build,10,Philipp Hofer,,,https://www.linkedin.com/in/philipp-hofer-0b9720201,false,none_outreach_ready,Send intro — outreach ready,irawadi-corp,https://rcdhotels.com,UNICO 20°105° Hotel Riviera Nayarit,,Nuevo Vallarta,13,2,"Pre-brand development — brand/operator evaluation before flag commitment (""UNICO 20°105° Hotel Riviera Nayarit"")."
P0_outreach_ready,The Excellence Collection,recumzko8MYdukrXC,A,true,false,third_party_brand_decision,100,100,new_build,5,Domingo Aznar,daznar@theexcellencecollection.com,00 1 866-211-6223,,true,none_outreach_ready,Send intro — outreach ready,,https://theexcellencecollection.com,Excellence Coral Playa Mujeres,,,9,1,"Pre-brand development — brand/operator evaluation before flag commitment (""Excellence Coral Playa Mujeres"")."
P0_outreach_ready,Grupo Diestra,rec2apz3Jmyaawn2e,A,true,false,third_party_brand_decision,100,100,independent_unbranded,8,Jorge Paoli Díaz,,,https://mx.linkedin.com/in/jorge-paoli-diaz-8954a61b5,false,none_outreach_ready,Send intro — outreach ready,grupo-diestra,https://grupodiestra.com,Tijuana Marriott Hotel,Marriott,Tijuana,8,1,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Tijuana Marriott Hotel"" and portfolio."
P0_outreach_ready,Pulso Inmobiliario,recAVowHQBqSoRLAD,A,true,false,asset_owner,100,100,independent_unbranded,8,Salomón Kamkhaji Ambe,,,https://www.linkedin.com/in/salomon-kamaji-219b7b9b,false,none_outreach_ready,Send intro — outreach ready,pulso-inmobiliario,https://pulsoinmobiliario.com,Dreams Huatulco Resort & Spa,Dreams Resorts & Spas,Huatulco,8,1,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Dreams Huatulco Resort & Spa"" and portfolio."
P0_outreach_ready,Norte 19,recIG2IXhZFZG8IrC,A,true,false,third_party_brand_decision,98,100,development_pipeline,136,Alberto Granados,AGranados@norte19.com,00 52 55 5249 8050,https://linkedin.com/in/alberto-granados-salazar-5054ba20/?originalSubdomain=mx,true,none_outreach_ready,Send intro — outreach ready,norte-19,https://norte19.com,City Express by Marriott Saltillo Norte,City Express by Marriott,Saltillo,142,10,Active development pipeline — multi-project brand strategy and deal workspace.
P0_outreach_ready,Grupo Brisas,recQuN5nPOH8KTIVo,A,true,false,third_party_brand_decision,88,100,new_build,11,Antonio Cosío Pando,,,https://www.linkedin.com/in/antonio-cosio-63a75619,false,none_outreach_ready,Send intro — outreach ready,grupo-brisas,https://brisas.com.mx,Galeria Plaza Leon,,,11,2,"Pre-brand development — brand/operator evaluation before flag commitment (""Galeria Plaza Leon"")."
P0_outreach_ready,Pueblo Bonito Hotels and Resorts,recqSfJ5OGVw9NdD1,A,true,false,third_party_brand_decision,88,100,new_build,9,Alberto Ernesto Coppel,,,https://mx.linkedin.com/in/alberto-coppel-096272104,false,none_outreach_ready,Send intro — outreach ready,pueblo-bonito,https://pueblobonito.com,Pueblo Bonito Vantage San Miguel de Allende,,San Miguel de Allende,9,1,"Pre-brand development — brand/operator evaluation before flag commitment (""Pueblo Bonito Vantage San Miguel de Allende"")."
