cala_portfolio_name,census_action,include_mgmt_hotel_equities_cala,confidence,status_recommendation,census_name_recommended,city,country,affiliation_brand,rooms_est,opening_est,evidence_summary,primary_source_url
"Terra Nova All-Suite Hotel Kingston",UPDATE_EXISTING,Yes,High,Open,"Terra Nova BW Premier Collection","Kingston","Jamaica","Best Western Premier Collection",,Open,"HE CALA lists as portfolio addition; Jamaica Gleaner (Jan 2026) says HE provides training/operational support as consultants for BW conversion—not full day-to-day mgmt. Owner remains Hussey family.","https://jamaica-gleaner.com/article/business/20260130/terra-nova-hotel-joins-best-western-brand"
"True Blue Hotel Grenada",NEW_ROW,Yes,Medium,Pipeline,"ONE True Blue Beach Hotel & Residences, Tapestry Collection by Hilton","St George's","Grenada","Tapestry Collection by Hilton",70,2027,"Do NOT link True Blue Bay Boutique Resort (family-operated). CALA page lists True Blue Hotel; separate CBI project by Golden Coast/Goldblat. Hilton Tapestry confirmed; HE operator cited on CALA site but not in Grenada govt/press releases—verify before mgmt write.","https://nowgrenada.com/2025/02/70-room-hotel-is-latest-cbi-approved-project/"
"Casa Colima Mexico City",NEW_ROW,Unconfirmed,Low,Pipeline,"Casa Colima (TBD — verify legal name)",Mexico City,Mexico,TBD,,TBD,"HE CALA blog cites Mexico City pipeline; no press match to Colima 71 (independent boutique, open 2023). Do not merge with banquet venue Casa Colima or Kukun apartments. Obtain HE deal name/address before census write.","https://www.hotelequities.com/blog/hotel-equities-expands-caribbean-and-latin-america-cala-capabilities-with-open-hotels-and-in-market-operating-platform/"
"Ceòra Luxury Collection Curaçao",NEW_ROW,Yes,Medium,Pipeline,"Ceòra, a Luxury Collection Resort, Curaçao","Willemstad","Curaçao","Luxury Collection",,TBD,"Listed on HE CALA portfolio page only; no independent Marriott/HE signing article found for Ceòra (distinct from Pyrmont Autograph opening 2026). Treat as pipeline; verify brand and operator contract.","https://www.hotelequities.com/cala.htm"
"Clarita's Beach Bar & Resort Jaco",NEW_ROW,Yes,High,Open,"Clarita's Beach Bar & Resort","Jacó","Costa Rica","WorldHotels Elite",63,2026,"HE assumed management; opened as first Costa Rica property (WorldHotels Elite Mar 2026). Bookings from Jul 2026 per WorldHotels.","https://www.hotelequities.com/blog/hotel-equities-expands-caribbean-and-latin-america-cala-capabilities-with-open-hotels-and-in-market-operating-platform/"
"Donoma Las Terrenas",ALREADY_IN_CENSUS,Yes,High,Pipeline,"Donoma Las Terrenas Beach Hotel & Spa Autograph Collection","Las Terrenas","Dominican Republic","Autograph Collection",,,,"Already in census with mgmt Hotel Equities (CALA).","https://www.hotelequities.com/cala.htm"
"Elephant Tree Resort Tobago",NEW_ROW,Yes,High,Pipeline,"Elephant Tree Resort and Villas Tobago, Tapestry Collection by Hilton","Roxborough","Trinidad and Tobago","Tapestry Collection by Hilton",40,2028,"Hilton and Hotel Executive: operated by Hotel Equities; 40 keys + residences.","https://stories.hilton.com/releases/hilton-plans-to-expand-caribbean-footprint-with-the-signing-of-elephant-tree-resort-and-villas-tobago-tapestry-collection-by-hilton"
"Hacienda Tres Rios",ALREADY_IN_CENSUS,Yes,High,Open,"Hacienda Tres Rios Resort, Spa & Nature Park","Playa del Carmen","Mexico",,,,,"Already in census with mgmt Hotel Equities (CALA).","https://www.hotelequities.com/cala.htm"
"Hampton by Hilton St. Thomas",ALREADY_IN_CENSUS,Yes,High,Pipeline,"Hampton by Hilton St. Thomas","Charlotte Amalie","US Virgin Islands","Hampton by Hilton",,,,"Already in census with mgmt Hotel Equities (CALA).","https://www.hotelequities.com/cala.htm"
"Hilton Garden Inn Cuernavaca",NEW_ROW,Yes,High,Pipeline,"Hilton Garden Inn Averanda","Cuernavaca","Mexico","Hilton Garden Inn",144,2028,"Multiple MX trade press: HE CALA will operate; part of Averanda Encuentro mixed-use; ProArquitectura/ONIRIUS development.","https://realestatemarket.com.mx/noticias/mercado-inmobiliario/50265-cadenas-hoteleras-miran-a-ciudades-regionales-para-crecer-en-mexico"
"Hilton Garden Inn Trinidad",NEW_ROW,Verify,Low,Pipeline,"Hilton Garden Inn San Fernando South Park","San Fernando","Trinidad and Tobago","Hilton Garden Inn",120,2028,"On HE CALA site; Hilton pipeline lists HGI San Fernando South Park. Developer Superior Hotels; groundbreaking Apr 2026. No press naming HE as operator—only developer. Also note census has Hampton by Hilton Trinidad Airport (Pipeline, blank mgmt).","https://www.ttt.live/tt220m-hotel-project-breaks-ground-in-san-fernando-pm-welcomes-major-investment-at-south-park/"
"Hotel Grenada",NEW_ROW,Verify,Low,Pipeline,"Grenada National Resort (Hotel)","Levera","Grenada",TBD,500,2027,"CALA page label Hotel Grenada likely = GNR hotel component (HSG International developer). No HE management press; do not confuse with InterContinental La Sagesse or ONE True Blue.","https://www.hsgrenadaresort.com/grenada-national-resort/"
"Rainforest Eco Resort Dominica",NEW_ROW,Yes,Medium,Pipeline,"Sanctuary Rainforest Eco Resort and Spa","Laudat","Dominica",Independent / eco,72,TBD,"HE CALA page Rainforest Eco Resort; matches Vital Developers CBI project Sanctuary Rainforest Eco Resort and Spa. Operator not named on Vital site—confirm HE mgmt contract.","https://www.vitaldevelopers.com/sanctuary-rainforest-eco-resort-and-spa/"
"Xiwara Las Terrenas",NEW_ROW,Yes,Medium,Pipeline,"Xiwara Las Terrenas Residential & Resort","El Portillo","Dominican Republic",TBD,84 hotel suites + resi,2028,"HE CALA portfolio; Bigentik Group developer; mixed-use CONFOTUR project El Portillo.","https://www.hotelequities.com/cala.htm"
"AMARIS Grace Bay",ALREADY_IN_CENSUS,Yes,High,Pipeline,"AMARIS Grace Bay, LXR Hotels & Resorts","Providenciales","Turks and Caicos Islands","LXR Hotels & Resorts",,,,"Already in census with mgmt Hotel Equities (CALA).","https://www.hotelequities.com/cala.htm"
"Casas del XVI",ALREADY_IN_CENSUS,Yes,High,Open,"Casas Del XVI","Santo Domingo","Dominican Republic",,,,,"Already in census with mgmt Hotel Equities (CALA).","https://www.hotelequities.com/cala.htm"
