formKey,inBindings,airtableField,fieldType,selectOptions
"bf_best_fit_project_types_json","Yes","bf_best_fit_project_types_json","multilineText",""
"bf_evaluation_path_json","Yes","bf_evaluation_path_json","multilineText",""
"bf_fit_criteria_json","Yes","bf_fit_criteria_json","multilineText",""
"bf_preferred_deal_profile_json","Yes","bf_preferred_deal_profile_json","multilineText",""
"bf_red_flags_json","Yes","bf_red_flags_json","multilineText",""
"bf_signal_dealsize","Yes","Best-Fit Deal Size","singleSelect","Not Measured / N/A|Single asset / small cluster|Mid portfolio (~100–500 keys)|Large portfolio (500+ keys)|Multi-region / institutional"
"bf_signal_transition","Yes","Transition Intensity Fit","singleSelect","High|Strong|Very Strong|Moderate-High|Medium|Low|Emerging"
"brand_execution_capabilities_json","Yes","brand_execution_capabilities_json","multilineText",""
"brand_governance_compliance_json","Yes","brand_governance_compliance_json","multilineText",""
"brand_portfolio_mix_json","Yes","brand_portfolio_mix_json","multilineText",""
"brand_relationship_depth_json","Yes","brand_relationship_depth_json","multilineText",""
"brand_signal_reflag","Yes","Reflag Readiness Lead Time","singleSelect","Not Measured / N/A|Under 4 Weeks|4–8 Weeks|8–12 Weeks|12–16 Weeks|16–24 Weeks|24+ Weeks"
"brandedVsIndependentMix","No","","",""
"brands","No","Brands Managed","",""
"cap_kpi_reporting","Yes","Reporting Strength","singleSelect","Not Measured / N/A|Basic|Structured|Advanced|Institutional"
"cap_kpi_transition","Yes","Transition Capability","singleSelect","Not Measured / N/A|Low|Moderate|Strong|Very Strong"
"caseStudiesDetail","No","","",""
"companyDescription","No","Company Description","",""
"companyHistory","No","Company History","",""
"companyLogo","No","","",""
"companyName","No","Company Name","",""
"companyTagline","No","Company Tagline","",""
"dataConfidenceLevel","Yes","Data Confidence Level","singleSelect","Verified|Operator-provided|Public-source|Inferred|Incomplete"
"differentiators","No","Key Differentiators","",""
"diligenceDocumentLinks","Yes","diligenceDocumentLinks","multilineText",""
"eng_signal_cadence","No","","",""
"eng_signal_reporting","No","","",""
"explorerHeroDataSource","No","","",""
"explorerHeroVerification","No","","",""
"explorerProfileJson","No","Explorer Profile JSON","",""
"geo_cala_total_hotels","No","Geo CALA Total Hotels","",""
"headquarters","No","Headquarters Location","",""
"infra_analytics_support_json","Yes","infra_analytics_support_json","multilineText",""
"infra_data_domains_json","Yes","infra_data_domains_json","multilineText",""
"infra_data_governance_json","Yes","infra_data_governance_json","multilineText",""
"infra_kpi_reporting","Yes","Reporting Systems","number",""
"infra_services_offered_json","Yes","infra_services_offered_json","multilineText",""
"infra_signal_adoption","Yes","System Adoption (Portfolio)","singleSelect","Not Measured / N/A|95%+|90–94%|85–89%|80–84%|70–79%|Below 70%"
"infra_signal_incident","Yes","Critical Incident Response","singleSelect","Not Measured / N/A|<15 min|<30 min|<1 hour|<2 hours|<4 hours|<24 hours|Tiered / Varies"
"infra_signal_refresh","Yes","Data Refresh Cadence","singleSelect","Not Measured / N/A|Real-time|Hourly|Daily|Daily + Weekly|Weekly|Monthly|Varies"
"infra_signal_uptime","Yes","Platform Uptime Sla","singleSelect","Not Measured / N/A|99.99%+|99.9%+|99.5–99.89%|99.0–99.49%|98.0–98.9%|Below 98%|Varies by system"
"infra_technology_maturity_json","No","","json",""
"infra_technology_stack_json","Yes","infra_technology_stack_json","multilineText",""
"lead_avg_hospitality_experience","Yes","Leadership Avg Hospitality Experience","singleLineText",""
"lead_avg_hospitality_years","No","","",""
"lead_governance_cadence_json","Yes","Leadership Governance Cadence (JSON)","multilineText",""
"lead_language_capability_json","Yes","Leadership Languages (JSON)","multilineText",""
"lead_languages_covered","No","","",""
"lead_narrative_regional","Yes","Regional Coverage","multilineText",""
"lead_org_structure_json","Yes","Leadership Org Structure (JSON)","multilineText",""
"lead_owner_relationship_json","Yes","Leadership Owner Relationship (JSON)","multilineText",""
"lead_signal_crossbrand","Yes","Cross-Brand Experience","singleSelect","High|Strong|Very Strong|Moderate-High|Medium|Low|Emerging"
"lead_signal_hospitality","No","","",""
"lead_signal_tenure","Yes","Avg. Leadership Tenure","singleLineText",""
"lead_team_depth_json","Yes","Leadership Team Depth (JSON)","multilineText",""
"lead_team_markets_json","Yes","Leadership Team Markets (JSON)","multilineText",""
"leadershipTeam","No","","",""
"managementPhilosophy","No","Management Philosophy","",""
"maxPropertySize","No","Max Property Size","",""
"minPropertySize","No","Min Property Size","",""
"missionStatement","No","Mission Statement","",""
