airtable_table_name,airtable_table_id,airtable_field_name,airtable_field_id,airtable_field_type,select_options,read_by_code_current,written_by_code_current,appears_in_ui_current,appears_in_snapshot_current,appears_in_scoring_current,classification,evidence_current_source,evidence_prior_report,conflict_prior_vs_current,confirmation_status
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,company_name,fldMrCb1I0Gmoyk37,singleLineText,,Yes,Yes/Partial,No/Unclear,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,operator_id,fldnNHielhBRfhTFU,singleLineText,,Yes,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,System/link/derived,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,submission_status,fldt1HAeoJVwjjXac,singleSelect,,Yes,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,System/link/derived,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,Possible prior-vs-current conflict,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,Operator Setup - Profile & Positioning,fldEaR4AkaTRmGZQX,multipleRecordLinks,,Yes,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,Operator Setup - Commercial Fit & Terms,fldrleH4l9GEqMdcE,multipleRecordLinks,,Yes,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,Operator Setup - Leadership Team Members,fldfAuVzgb5AxXc9d,multipleRecordLinks,,Yes,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,Operator Setup - Diligence QA,fldcJTlauFdMralMf,multipleRecordLinks,,Yes,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,"Operator Setup - Governance, Delivery & Diligence",fld7jOxHzkiiD7WmI,multipleRecordLinks,,Yes,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,Operator Setup - Platform & Markets,fldDaMUKffSwsPGtN,multipleRecordLinks,,Yes,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,Operator Setup - Case Studies,flduemtIYuwKgdBkf,multipleRecordLinks,,Yes,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,Needs Review,Live Airtable meta + current repo scan,,,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,created_at,fld111uQqqTGAMhrL,createdTime,,Yes,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,System/link/derived,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,updated_at,flda1a6HW8MTPaYzM,lastModifiedTime,,Yes,Yes/Partial,No/Unclear,No/Unclear,No/Unclear,System/link/derived,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
Operator Setup - Master,tbl4YPJ3XhnYLHLsD,Data Confidence Level,fldDLg1e3Kjl8aGLY,singleSelect,,Yes,Yes/Partial,No/Unclear,No/Unclear,Yes/Partial,Needs Review,Live Airtable meta + current repo scan,operator-setup-to-explorer-field-mapping-audit.csv,,Partially Confirmed (schema + code scans)
