enrichmentPriority,ownerName,ownerTargetId,priorityTier,outreachReady,needsEnrichment,outreachTrack,intentScore,outreachScore,primaryDealTrigger,brandDecisionEligiblePropertyCount,contactName,contactEmail,contactPhone,contactLinkedIn,hasVerifiedPersonEmail,contactGaps,suggestedAction,mxCorporateSeedSlug,companyWebsite,topLeadAsset,topLeadBrand,topLeadCity,calaPropertyCount,linkedContactCount,pitchAngle
P1_high_intent_tier_a,Arotesa Servicions Integrales SA de CV,rec1ksl1MUX7bqU0H,A,false,true,asset_owner,86,86,independent_unbranded,4,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Review mx seed arotesa; complete missing fields,arotesa,https://www.marriott.com/en-us/hotels/cunpb-paraiso-de-la-bonita-a-luxury-collection-resort-riviera-maya-adult-all-inclusive/overview/,"Paraiso de la Bonita, a Luxury Collection Resort, Riviera Maya, Adult All-Inclusive",Luxury Collection,Puerto Morelos,4,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Paraiso de la Bonita, a Luxury Collection Resort, Riviera Maya, Adult All-Inclusive"" and portfolio."
P1_high_intent_tier_a,Galicott & Macari,rec9TWY18qs48uFK6,A,false,true,asset_owner,82,82,brand_renewal_window,4,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Review mx seed galicott-macari; complete missing fields,galicott-macari,https://www.hyattinclusivecollection.com/en/resorts-hotels/dreams/mexico/aventuras-riviera-maya/,Dreams Aventuras Riviera Maya,Dreams Resorts & Spas,,4,0,Approaching estimated brand/management renewal window — evaluate alternatives before recommit.
P2_tier_a,Marival Group,rec2UrFRQ91RRnfAw,A,false,true,asset_owner,68,68,independent_unbranded,3,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Armony Resort & Spa All Inclusive Adults Only future MGallery Collection,MGallery Collection,,3,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Armony Resort & Spa All Inclusive Adults Only future MGallery Collection"" and portfolio."
P2_tier_a,TAFER Hotels & Resorts,reccAxo2gNS63N7IB,A,false,true,third_party_brand_decision,66,66,new_build,7,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Hotel Mousai Cancun,,Cancun,7,0,"Pre-brand development — brand/operator evaluation before flag commitment (""Hotel Mousai Cancun"")."
P2_tier_a,Owner 1: Parks Hospitality Holdings | Owner 2: Fibra Uno,recDSafRSD3KaOifU,A,false,true,third_party_brand_decision,66,66,brand_renewal_window,5,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Hilton Mexico City Reforma,Hilton,Mexico City,5,0,Approaching estimated brand/management renewal window — evaluate alternatives before recommit.
P2_tier_a,Majestic Resorts,recmx5AqgkBgH72Vr,A,false,true,third_party_brand_decision,66,66,new_build,2,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,https://majestic-resorts.com,Majestic Mirage Costa Mujeres - All-Suite Resort,,,5,0,"Pre-brand development — brand/operator evaluation before flag commitment (""Majestic Mirage Costa Mujeres - All-Suite Resort"")."
P2_tier_a,Maria Alejandra Martinez Rodea,recSUIkWOBNK2byJo,A,false,true,asset_owner,66,66,brand_renewal_window,3,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Courtyard Toluca Airport,Courtyard,Toluca,3,0,Approaching estimated brand/management renewal window — evaluate alternatives before recommit.
P2_tier_a,Balderrama Hotel Collection,reckJ7lpUi3SczvXa,A,false,true,third_party_brand_decision,64,64,independent_unbranded,6,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,https://hotelesbalderrama.com,Hotel Misión Cerocahui,,,6,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Hotel Misión Cerocahui"" and portfolio."
P2_tier_a,Grupo Murano,rectkeR8wvNyGnkl1,A,false,true,asset_owner,64,64,reflag,3,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Hyatt Vivid Grand Island,Hyatt Vivid,Cancun,3,0,Owner-operator separation on CALA assets — reflag/operator RFP decision support.
P2_tier_a,"Enrique, Gustavo and Javier Tapia Camou",rec3uNXBcW95xB5Oe,A,false,true,asset_owner,62,62,reflag,1,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Sunscape Puerto Vallarta Resort & Spa,Sunscape Resorts & Spas,Puerto Vallarta,1,0,Owner-operator separation on CALA assets — reflag/operator RFP decision support.
P2_tier_a,"Gilberto, Tomasso Sandretto",recoGpr1KZ3ASbl1X,A,false,true,asset_owner,62,62,reflag,1,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Dreams Tulum Resort & Spa,Dreams Resorts & Spas,Tulum,1,0,Owner-operator separation on CALA assets — reflag/operator RFP decision support.
P2_tier_a,Grupo Martinon Grumasa S.L.,recP8j0Ju9i2dhpOJ,A,false,true,asset_owner,60,60,brand_renewal_window,1,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Dreams Jade Resort & Spa,Dreams Resorts & Spas,Puerto Morelos,6,0,Approaching estimated brand/management renewal window — evaluate alternatives before recommit.
P2_tier_a,HOLA Hotels & Resorts,reccDxCBBwgZpq2OM,A,false,true,third_party_brand_decision,60,60,brand_renewal_window,5,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Ramada by Wyndham Hola Culiacan,Ramada,Culiacán,5,0,Approaching estimated brand/management renewal window — evaluate alternatives before recommit.
