tab,fieldName,label,verdict,currentAnswer,suggestedCopyPaste
Company Profile,companyName,companyName,Change,Arbor Lodging (CALA),Arbor Lodging (CALA)
Company Profile,companyDescription,companyDescription,Change,"Arbor Lodging (CALA) is the Caribbean & Latin America practice of Arbor Lodging—a vertically integrated hotel investment and management company. From a fully operational Mexico City base, we combine local presence with U.S. platform depth across business development, operations, sales, revenue management, marketing, finance, accounting, HR, and communications. We are an approved third-party operat…","Arbor Lodging (CALA) is the Caribbean & Latin America practice of Arbor Lodging—a vertically integrated hotel investment and management company. From a fully operational Mexico City base, we combine local presence with U.S. platform depth across business development, operations, sales, revenue management, marketing, finance, accounting, HR, and communications. We are an approved third-party operator for Marriott, Hilton, Hyatt, and IHG, with growing third-party management momentum in Mexico and the broader CALA region."
Company Profile,website,website,Change,https://www.arborlodging.com/platforms,https://www.arborlodging.com/platforms
Company Profile,headquarters,headquarters,Change,"Regional hub: Mexico City, Mexico; corporate headquarters: Chicago, Illinois, United States","Regional hub: Mexico City, Mexico; corporate headquarters: Chicago, Illinois, United States"
Company Profile,yearEstablished,yearEstablished,Change,2006,2006
Company Profile,yearsInBusiness,yearsInBusiness,Change,19,19
Company Profile,companySize,companySize,Change,Medium (10-50 properties),Medium (10-50 properties)
Company Profile,companyTagline,companyTagline,Change,"Performance-driven hospitality—local CALA presence, global brand standards, owner mindset.","Performance-driven hospitality—local CALA presence, global brand standards, owner mindset."
Company Profile,companyHistory,companyHistory,Change,"Arbor Lodging was founded in 2006 and built in Chicago by Vamsi Bonthala and Sheenal Patel into a vertically integrated owner-operator and manager. The company operates Arbor Lodging Partners (investment) and Arbor Lodging Management (operations), with Arbor Management Solutions providing outsourced accounting and commercial support to other management companies. CALA expansion has been deliberate…","Arbor Lodging was founded in 2006 and built in Chicago by Vamsi Bonthala and Sheenal Patel into a vertically integrated owner-operator and manager. The company operates Arbor Lodging Partners (investment) and Arbor Lodging Management (operations), with Arbor Management Solutions providing outsourced accounting and commercial support to other management companies. CALA expansion has been deliberate: a Mexico City office integrated with U.S. operations for three+ years, the first third-party management selection in Cabo San Lucas, Mexico, and continued relationship-building across the region—with Christian Hutchinson appointed Director of Business Development, CALA, in November 2025."
Company Profile,differentiators,differentiators,Change,"Intimate senior-leadership access and hands-on execution Owner-operator mindset that aligns investment and operating decisions Proprietary methods (technology, operating models, and Mexico City team leverage) Project management and cost controls with strong vendor/brand relationships","Vertically integrated platform (investment + management + outsourced solutions)
Approved operator for Marriott, Hilton, Hyatt, and IHG
Mexico City regional hub with integrated CALA functional team
Third-party management growth with conversion and repositioning capability
Entrepreneurial asset management mindset from Arbor Lodging Partners"
Company Profile,managementPhilosophy,managementPhilosophy,Change,"We think in decades, not quarters: owner-aligned decisions, data-driven accountability, and operational excellence across branded and independent opportunities. In CALA we prioritize proximity, cultural understanding, and on-the-ground responsiveness—not remote-only management.","We think in decades, not quarters: owner-aligned decisions, data-driven accountability, and operational excellence across branded and independent opportunities. In CALA we prioritize proximity, cultural understanding, and on-the-ground responsiveness—not remote-only management."
Company Profile,missionStatement,missionStatement,Keep,Uniting best practices of enterprising hotel operators and sophisticated institutional investors to underwrite and execute value-add opportunities in lodging.,Uniting best practices of enterprising hotel operators and sophisticated institutional investors to underwrite and execute value-add opportunities in lodging.
Company Profile,primaryServiceModel,primaryServiceModel,Keep,Mixed,Mixed
Company Profile,numberOfBrands,numberOfBrands,Keep,6,6
Company Profile,brands,Brands Managed * Select all brands you manage (click or Ctrl/Cmd+click).,Change,"Courtyard by Marriott, Hilton Garden Inn, Hampton by Hilton, Hyatt Place, Holiday Inn Express, Kimpton Hotels","Courtyard by Marriott, Hilton Garden Inn, Hampton by Hilton, Hyatt Place, Holiday Inn Express, Kimpton Hotels"
Company Profile,additionalBrands,additionalBrands,Change,(empty),None
Company Profile,chainScalesSupported,Chain Scales You Support Recommended. Chain scales you actively pursue today.,Change,"Upper Upscale, Upscale, Upper Midscale, Midscale","Upper Upscale, Upscale, Upper Midscale, Midscale"
Company Profile,propertyTypes,Property Types Recommended. Product types you actively manage today.,Keep,"Full Service, Select Service, Resort, Boutique, Lifestyle","Full Service, Select Service, Resort, Boutique, Lifestyle"
Company Profile,additionalExperience,Additional Experience / Location Contexts Contexts where you have meaningful experience beyond core type.,Keep,"Resort, Urban, Suburban, Airport","Resort, Urban, Suburban, Airport"
Company Profile,emergencyResponse,emergencyResponse,Keep,Crisis response is coordinated through local property teams and regional leadership with direct senior involvement.,Crisis response is coordinated through local property teams and regional leadership with direct senior involvement.
