Parent Company,Normalized Parent Company,Brand Name,Normalized Brand Name,Brand Family / Collection,Chain Scale / Positioning Tier,Service Model,Region / CALA Flag,Include in Brand Explorer,Brand Status,Brand Directory URL,Official Website,Alias Mapping Present?,Alias Count,Missing Key Fields,Recommended Parent Priority,Gap Flags,Notes
AccorHotels,accorhotels,onefinestay,onefinestay,Masterbrand,Luxury,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,6. Accor,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
Sonesta International Hotels Corporation,sonesta international hotels corporation,Country Hearth Inns & Suites,country hearth inns & suites,Masterbrand,Upper Upscale,Select-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
BWH Hotels,bwh hotels,Best Western Plus,best western plus,Masterbrand,Upper Midscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
BWH Hotels,bwh hotels,Best Western,best western,Masterbrand,Midscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
AccorHotels,accorhotels,The House of Originals,the house of originals,Soft/Collection Brand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,6. Accor,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
Sonesta International Hotels Corporation,sonesta international hotels corporation,Sonesta Cruise Collection,sonesta cruise collection,Masterbrand,Upper Upscale,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
BWH Hotels,bwh hotels,Vīb by Best Western,vib by best western,Endorsed Brand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
BWH Hotels,bwh hotels,SureStay Collection by Best Western,surestay collection by best western,Endorsed Brand,Economy,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
BWH Hotels,bwh hotels,Best Western Premier,best western premier,Masterbrand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
BWH Hotels,bwh hotels,SureStay Hotel by Best Western,surestay hotel by best western,Endorsed Brand,Economy,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
BWH Hotels,bwh hotels,Glō by Best Western,glo by best western,Endorsed Brand,Upper Midscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
Banyan Tree Hotels & Resorts,banyan tree hotels & resorts,Banyan Tree,banyan tree,Masterbrand,Luxury,Full-Service,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
BWH Hotels,bwh hotels,Aiden by Best Western,aiden by best western,Endorsed Brand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
AccorHotels,accorhotels,Adagio Aparthotel Extra,adagio aparthotel extra,Masterbrand,Upper Midscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,6. Accor,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
Banyan Tree Hotels & Resorts,banyan tree hotels & resorts,Angsana,angsana,Masterbrand,Luxury,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
,(missing),Zoku,zoku,Masterbrand,Upper Upscale,Extended Stay,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,https://livezoku.com,https://livezoku.com,yes,1,parent_company,15. Other regional / independent operators,parent_company,Needs Brand Setup or alias backfill before directory discovery.
Hyatt Hotels Corporation,hyatt hotels corporation,Caption by Hyatt,caption by hyatt,Endorsed Brand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,5. Hyatt,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
BWH Hotels,bwh hotels,SureStay Studio,surestay studio,Masterbrand,Economy,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,15. Other regional / independent operators,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
Hyatt Hotels Corporation,hyatt hotels corporation,Mr & Mrs Smith,mr & mrs smith,Soft/Collection Brand,Upscale,,CALA-relevant (North America; Caribbean & Latin America; Europe; Middle East & Africa; Asia Pacific),no (derived from Brand Status),Draft,,,yes,1,website_or_directory_url,5. Hyatt,website_or_directory_url,Needs Brand Setup or alias backfill before directory discovery.
