operator_master_record_id,operator_name,my_operator_tab,form_field_key,airtable_table,airtable_field_name,value_type,allowed_options,displayed_in_operator_explorer,operator_explorer_section,field_purpose,example_value_for_template,current_value_in_system,suggested_value_verdict,where_to_enter,canonical_writer_mapped,coverage_status,notes
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,companyName,Operator Setup - Platform & Markets,company_name,text,,Yes,A. Profile Snapshot | H. Alignment Context (dealId),Populates Operator Explorer: A. Profile Snapshot | H. Alignment Context (dealId).,Hotel Equities (CALA),Hotel Equities (CALA),Keep,Company Profile,yes,Legacy Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,companyDescription,Operator Setup - Profile & Positioning,companyDescription,text,,Yes,A. Profile Snapshot | H. Alignment Context (dealId),Populates Operator Explorer: A. Profile Snapshot | H. Alignment Context (dealId).,"Hotel Equities (CALA) is the Caribbean & Latin America division of Hotel Equities, focused on third-party hotel and resort management in the region. It combines local leadership and regional operating support with Hotel Equities' broader management platform. The division is positioned around all-inclusive resorts and urban/lifestyle hotels.","Hotel Equities is an award-winning, third-party hotel management and development firm serving property owners, developers, and institutional investors across the U.S., Canada, and the Caribbean & Latin America. Managing a diverse portfolio of nearly 20 properties, we leverage a performance-driven, owner-aligned approach to maximize value. By combining our robust global commercial infrastructure with dedicated, in-market leadership, we optimize financial and operational performance across all-inc",Change,Company Profile,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,website,Operator Setup - Profile & Positioning,website,url,,Yes,A. Profile Snapshot | H. Alignment Context (dealId),Populates Operator Explorer: A. Profile Snapshot | H. Alignment Context (dealId).,https://www.hotelequities.com/cala.htm,https://hotelequities.com,Change,Company Profile,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,headquarters,Operator Setup - Profile & Positioning,headquarters,text,,Yes,A. Profile Snapshot | H. Alignment Context (dealId),Populates Operator Explorer: A. Profile Snapshot | H. Alignment Context (dealId).,"Parent HQ: Atlanta, Georgia, United States; CALA in-market leadership in Miami, Mexico, Dominican Republic, and Washington DC area","Miami, Florida (US)",Change,Company Profile,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,yearEstablished,Operator Setup - Profile & Positioning,yearEstablished,number,,Yes,A. Profile Snapshot | H. Alignment Context (dealId),Populates Operator Explorer: A. Profile Snapshot | H. Alignment Context (dealId).,2024,2024,Change,Company Profile,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,yearsInBusiness,Operator Setup - Profile & Positioning,yearsInBusiness,number,,Yes,A. Profile Snapshot | H. Alignment Context (dealId),Populates Operator Explorer: A. Profile Snapshot | H. Alignment Context (dealId).,2,2,Change,Company Profile,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,companySize,Operator Setup - Profile & Positioning,companySize,single_select,,No,—,My Operator intake (Company Profile); Phase B2 — extend new-base writer.,Medium (10-50 properties),Medium (10-50 properties),Keep,Company Profile,no,Legacy Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,companyTagline,Operator Setup - Profile & Positioning,companyTagline,text,,No,A. Profile Snapshot,My Operator intake (Company Profile); Phase B2 — extend new-base writer.,Excellence in Hospitality,To create value for ownership,Change,Company Profile,yes,Legacy Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,companyHistory,Operator Setup - Profile & Positioning,companyHistory,text,,No,—,My Operator intake (Company Profile); Phase B2 — extend new-base writer.,"Hotel Equities was founded in 1989 and has grown into a hotel management and development company operating across the U.S., Canada, the Caribbean, and Latin America. In 2024, Hotel Equities formed a strategic partnership with Trust Hospitality to launch and scale its dedicated CALA division, with a focus on all-inclusive resorts and urban/lifestyle hotels. Industry press reported Juan Corvinos as president of the division in 2025.","Founded in 1989 by Fred ""Coach"" Cerrone, Hotel Equities was built on a foundation of operational excellence and a people-centered culture. A major milestone occurred in 2016 when the company expanded internationally into the Canadian market, successfully establishing an in-market corporate team and growing that portfolio to over 40 properties. Building on this proven international expansion model, Hotel Equities formed a strategic partnership with Trust Hospitality in 2024 to launch and rapidly ",Change,Company Profile,yes,Legacy Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,differentiators,Operator Setup - Profile & Positioning,differentiators,text,,No,—,My Operator intake (Company Profile); Phase B2 — extend new-base writer.,Local leadership in region; purpose-built CALA infrastructure; owner-aligned operating model; focus on all-inclusive and urban/lifestyle hotels; third-party management specialization; regional footprint across Caribbean and Latin America,"In-market CALA operating platform; dual vertical focus (All-Inclusive Resorts + Urban/Lifestyle); owner-aligned ""Three-Legged Stool"" operating philosophy; strong branded operating discipline.",Change,Company Profile,yes,Legacy Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,managementPhilosophy,Operator Setup - Profile & Positioning,managementPhilosophy,text,,No,—,My Operator intake (Company Profile); Phase B2 — extend new-base writer.,"Owner-aligned, performance-driven operating approach with regional leadership and local market knowledge","Owner-aligned operating model focused on engaged associates, guest experience, and financial performance (""Three-Legged Stool""), adapted to local market execution in CALA.",Change,Company Profile,yes,Legacy Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,missionStatement,Operator Setup - Profile & Positioning,missionStatement,text,,No,—,My Operator intake (Company Profile); Phase B2 — extend new-base writer.,"Fill the long-standing gap in third-party hospitality management for owners in the Caribbean and Latin America with local leadership, purpose-built infrastructure, and a performance-driven, owner-aligned approach.",Hotel Equities' clear mission for its Caribbean and Latin America (CALA) division is to fill the long-standing gap in third-party hospitality management for property owners in the region.,Change,Company Profile,yes,Legacy Only,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,primaryServiceModel,Operator Setup - Profile & Positioning,primaryServiceModel,single_select,,Yes,C. Operating Profile | Tab: C. Operating Profile | H. Alignment Context (dealId),Populates Operator Explorer: C. Operating Profile | Tab: C. Operating Profile | H. Alignment Context (dealId).,Mixed,Mixed,Change,Company Profile,yes,Fully Covered,
recWPKu5laVZxsvpn,Hotel Equities (CALA),Company Profile,numberOfBrands,Operator Setup - Profile & Positioning,numberOfBrands,number,,Partial,G. Brand / Portfolio Experience | Tab: G. Brand / Portfolio Experience,Partial Explorer visibility (G. Brand / Portfolio Experience | Tab: G. Brand / Portfolio Experience).,64,13,Change,Company Profile,yes,Fully Covered,
