Airtable Table,Airtable Field,Airtable Field Type,Live Options,Operator Setup UI Tab,Operator Setup Form Field Name,OAS Injected?,New-Base Writer Mapped?,Legacy Writer Mapped?,Child Table / JSON Payload?,Operator Explorer Section / Tab,Displayed in Operator Explorer?,Explorer Display Source,Used by OAS?,Used by Operator Strategy?,System / Derived / Admin-only?,Coverage Status,Risk Level,Recommended Action
Operator Setup - Master,company_name,singleLineText,,0. Company Profile,companyName,No,Yes,Yes,No,A. Profile Snapshot | H. Alignment Context (dealId),Yes,Live (Phase D rail + prefill),No,Yes,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Master,operator_id,singleLineText,,,,No,No,No,No,—,No,Not an Explorer consumer field,No,No,Yes — System / link,System Field,Low,No operator UI — system/link/metadata
Operator Setup - Master,submission_status,singleSelect,,,,No,No,No,No,—,No,Not an Explorer consumer field,Yes,Yes,Yes — System / link,System Field,Low,No operator UI — system/link/metadata
Operator Setup - Master,created_at,createdTime,,,,No,No,No,No,—,No,Not an Explorer consumer field,No,No,Yes — System / link,System Field,Low,No operator UI — system/link/metadata
Operator Setup - Master,updated_at,lastModifiedTime,,,,No,No,No,No,—,No,Not an Explorer consumer field,No,No,Yes — System / link,System Field,Low,No operator UI — system/link/metadata
Operator Setup - Profile & Positioning,company_name,singleLineText,,0. Company Profile,companyName,No,Yes,Yes,No,A. Profile Snapshot | H. Alignment Context (dealId),Yes,Live (Phase D rail + prefill),No,Yes,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,Operator,multipleRecordLinks,,,,No,No,No,No,—,No,Not an Explorer consumer field,No,No,Yes — System / link,System Field,Low,No operator UI — system/link/metadata
Operator Setup - Profile & Positioning,companyDescription,multilineText,,0. Company Profile,companyDescription,No,Yes,Yes,No,A. Profile Snapshot | H. Alignment Context (dealId),Yes,Live (Phase D rail + prefill),No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,website,url,,0. Company Profile,website,No,Yes,Yes,No,A. Profile Snapshot | H. Alignment Context (dealId),Yes,Live (Phase D rail + prefill),No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,headquarters,singleLineText,,0. Company Profile,headquarters,No,Yes,Yes,No,A. Profile Snapshot | H. Alignment Context (dealId),Yes,Live (Phase D rail + prefill),No,No,No,Fully Covered,Low,UI + new-base writer (+ Explorer when consumer)
Operator Setup - Profile & Positioning,companySize,singleSelect,,0. Company Profile,companySize,No,No,Yes,No,—,No,Not an Explorer consumer field,No,No,No,Legacy Only,Medium,Phase B2 — extend new-base writer
Operator Setup - Profile & Positioning,companyTagline,singleLineText,,0. Company Profile,companyTagline,No,No,Yes,No,A. Profile Snapshot,No,Not an Explorer consumer field,No,No,No,Legacy Only,Medium,Phase B2 — extend new-base writer
Operator Setup - Profile & Positioning,companyHistory,multilineText,,0. Company Profile,companyHistory,No,No,Yes,No,—,No,Not an Explorer consumer field,No,No,No,Legacy Only,Medium,Phase B2 — extend new-base writer
Operator Setup - Profile & Positioning,differentiators,multilineText,,0. Company Profile,differentiators,No,No,Yes,No,—,No,Not an Explorer consumer field,No,No,No,Legacy Only,Medium,Phase B2 — extend new-base writer
Operator Setup - Profile & Positioning,managementPhilosophy,multilineText,,0. Company Profile,managementPhilosophy,No,No,Yes,No,—,No,Not an Explorer consumer field,No,No,No,Legacy Only,Medium,Phase B2 — extend new-base writer
Operator Setup - Profile & Positioning,missionStatement,multilineText,,0. Company Profile,missionStatement,No,No,Yes,No,—,No,Not an Explorer consumer field,No,No,No,Legacy Only,Medium,Phase B2 — extend new-base writer
