enrichmentPriority,ownerName,ownerTargetId,priorityTier,outreachReady,needsEnrichment,outreachTrack,intentScore,outreachScore,primaryDealTrigger,brandDecisionEligiblePropertyCount,contactName,contactEmail,contactPhone,contactLinkedIn,hasVerifiedPersonEmail,contactGaps,suggestedAction,mxCorporateSeedSlug,companyWebsite,topLeadAsset,topLeadBrand,topLeadCity,calaPropertyCount,linkedContactCount,pitchAngle
P1_high_intent_tier_a,Globalia Corporacion Empresarial,recXTT5z1EkZnNK1A,A,false,true,asset_owner,98,98,independent_unbranded,4,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Review mx seed globalia; complete missing fields,globalia,https://www.globalia.com,Marien Puerto Plata,,Puerto Plata,4,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Marien Puerto Plata"" and portfolio."
P1_high_intent_tier_a,A3 Property Investment,recWhfmyjxYKZSKRk,A,false,true,asset_owner,92,92,independent_unbranded,9,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Manto Hotel Lima MGallery Collection,MGallery Collection,Lima,9,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Manto Hotel Lima MGallery Collection"" and portfolio."
P1_high_intent_tier_a,Grupo Empresarial Hotelero Gran Caribe S.A,recTVEtjkSYC095pD,A,false,true,third_party_brand_decision,92,92,independent_unbranded,4,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,NH Collection Victoria La Habana,NH Collection,Havana,4,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""NH Collection Victoria La Habana"" and portfolio."
P1_high_intent_tier_a,Real Hotels & Resorts,recbkiwiCrlDpHi4Q,A,false,true,third_party_brand_decision,90,90,brand_renewal_window,22,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Review mx seed real-hotels; complete missing fields,real-hotels,https://realhotelsandresorts.com,Comfort Inn Real La Union,Comfort Inn,,22,0,Approaching estimated brand/management renewal window — evaluate alternatives before recommit.
P1_high_intent_tier_a,The Belize Collection,recm3CqdcqLQRekWs,A,false,true,asset_owner,88,88,new_build,4,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,The Banks,,,4,0,"Pre-brand development — brand/operator evaluation before flag commitment (""The Banks"")."
P1_high_intent_tier_a,Muy’Ono Resorts,recguRDCw4Za72Onf,A,false,true,third_party_brand_decision,88,88,new_build,3,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,The Watermark Belize Hotel,,San Pedro,3,0,"Pre-brand development — brand/operator evaluation before flag commitment (""The Watermark Belize Hotel"")."
P1_high_intent_tier_a,Arotesa Servicions Integrales SA de CV,rec1ksl1MUX7bqU0H,A,false,true,asset_owner,86,86,independent_unbranded,4,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Review mx seed arotesa; complete missing fields,arotesa,https://www.marriott.com/en-us/hotels/cunpb-paraiso-de-la-bonita-a-luxury-collection-resort-riviera-maya-adult-all-inclusive/overview/,"Paraiso de la Bonita, a Luxury Collection Resort, Riviera Maya, Adult All-Inclusive",Luxury Collection,Puerto Morelos,4,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Paraiso de la Bonita, a Luxury Collection Resort, Riviera Maya, Adult All-Inclusive"" and portfolio."
P1_high_intent_tier_a,BTG Pactual,recQSmTeolLy3IkB1,A,false,true,asset_owner,84,84,brand_renewal_window,11,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Ibis Sorocaba,ibis,Sorocaba,11,0,Approaching estimated brand/management renewal window — evaluate alternatives before recommit.
P1_high_intent_tier_a,ISWM Group,rec3tJDYCexilZzCd,A,false,true,asset_owner,84,84,brand_renewal_window,5,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,ibis Buenos Aires Congreso,ibis,Buenos Aires,5,0,Approaching estimated brand/management renewal window — evaluate alternatives before recommit.
P1_high_intent_tier_a,Hotel Camino Real S.A.,recgFRCiPwqYj8uWz,A,false,true,third_party_brand_decision,82,82,independent_unbranded,6,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,https://caminoreal.com.gt,Hotel Biltmore,,Guatemala City,6,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Hotel Biltmore"" and portfolio."
P1_high_intent_tier_a,Gran Caribe Grupo Hotelero,recnzN14sYOJAIQYN,A,false,true,third_party_brand_decision,82,82,independent_unbranded,5,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,Villa Tortuga,,,5,0,"Independent CALA hotel owner — brand/franchise evaluation workspace for ""Villa Tortuga"" and portfolio."
P1_high_intent_tier_a,Galicott & Macari,rec9TWY18qs48uFK6,A,false,true,asset_owner,82,82,brand_renewal_window,4,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Review mx seed galicott-macari; complete missing fields,galicott-macari,https://www.hyattinclusivecollection.com/en/resorts-hotels/dreams/mexico/aventuras-riviera-maya/,Dreams Aventuras Riviera Maya,Dreams Resorts & Spas,,4,0,Approaching estimated brand/management renewal window — evaluate alternatives before recommit.
P1_high_intent_tier_a,Lionstone Development,recPEuk5mjxTu3j2i,A,false,true,asset_owner,80,80,reflag,3,,,,,false,missing_contact_name|missing_contact_channel|needs_verification_tier,Manual corp web research + registry optional,,,"Sunscape Curacao Resort, Spa & Casino",Sunscape Resorts & Spas,Curacao,3,0,Owner-operator separation on CALA assets — reflag/operator RFP decision support.
