field_concept,airtable_table,airtable_field,recommended_section,recommended_ui_label,helper_text,input_type,existing_select_options_safe,option_normalization_needed_first,required_or_optional,appears_external_outputs,feeds_matching_scoring_snapshots,risk_level,implementation_notes
conversionReflagExperience,Operator Setup - Commercial Fit & Terms,Conversion / Reflag Experience,Operating Platform / Operating Platform (KPI snapshot),conversionReflagExperience,Capture operator-provided value for canonical read/write parity.,single-select,Needs Review,Potentially,Optional,Yes,Yes,Medium,Add UI control and validate canonical save/reload before demo.
managementStructuresSupported,Operator Setup - Commercial Fit & Terms,Management Structures Supported,Profile & Positioning / Operator Quick Facts,managementStructuresSupported,Capture operator-provided value for canonical read/write parity.,single-select,Needs Review,Potentially,Optional,Yes,No/Unclear,Medium,Add UI control and validate canonical save/reload before demo.
minimumKeyCount,Operator Setup - Commercial Fit & Terms,Minimum Key Count,Needs section assignment,minimumKeyCount,Capture operator-provided value for canonical read/write parity.,number,N/A,No,Optional,Potentially,No/Unclear,Low/Medium,Can be queued after P0 completeness items.
newBuildOpeningExperience,Operator Setup - Commercial Fit & Terms,New-Build Opening Experience,Needs section assignment,newBuildOpeningExperience,Capture operator-provided value for canonical read/write parity.,single-select,Needs Review,Potentially,Optional,Potentially,No/Unclear,Low/Medium,Can be queued after P0 completeness items.
preOpeningSupportCapability,Operator Setup - Commercial Fit & Terms,Pre-Opening Support Capability,Operating Platform / Operating Platform (KPI snapshot),preOpeningSupportCapability,Capture operator-provided value for canonical read/write parity.,single-select,Needs Review,Potentially,Optional,Yes,Yes,Medium,Add UI control and validate canonical save/reload before demo.
similarProjectCaseStudies,Operator Setup - Commercial Fit & Terms,Similar Project Case Studies,Needs section assignment,similarProjectCaseStudies,Capture operator-provided value for canonical read/write parity.,textarea,N/A,No,Optional,Potentially,No/Unclear,Low/Medium,Can be queued after P0 completeness items.
fbCapabilityLevel,"Operator Setup - Governance, Delivery & Diligence",F&B Capability Level,Operating Platform / Operating Platform (KPI snapshot),fbCapabilityLevel,Capture operator-provided value for canonical read/write parity.,single-select,Needs Review,Potentially,Optional,Yes,Yes,Medium,Add UI control and validate canonical save/reload before demo.
governanceCadence,"Operator Setup - Governance, Delivery & Diligence",Governance Cadence,Needs section assignment,governanceCadence,Capture operator-provided value for canonical read/write parity.,single-select,Needs Review,Potentially,Optional,Potentially,No/Unclear,Low/Medium,Can be queued after P0 completeness items.
infra_technology_maturity_level,"Operator Setup - Governance, Delivery & Diligence",infra_technology_maturity_level,Infrastructure & Data / Technology Maturity View,infra_technology_maturity_level,Capture operator-provided value for canonical read/write parity.,single-select,Needs Review,Potentially,Optional,Potentially,No/Unclear,Low/Medium,Can be queued after P0 completeness items.
offeredServices,"Operator Setup - Governance, Delivery & Diligence",Offered Services,Operating Platform / Commercial Engine (pillar tiles),offeredServices,Capture operator-provided value for canonical read/write parity.,single-select,Needs Review,Potentially,Optional,Potentially,No/Unclear,Low/Medium,Can be queued after P0 completeness items.
ownerReportingLevel,"Operator Setup - Governance, Delivery & Diligence",Owner Reporting Level,Operating Platform / Operating Platform (KPI snapshot),ownerReportingLevel,Capture operator-provided value for canonical read/write parity.,single-select,Needs Review,Potentially,Optional,Yes,Yes,Medium,Add UI control and validate canonical save/reload before demo.
revenueManagementCapability,"Operator Setup - Governance, Delivery & Diligence",Revenue Management Capability,Operating Platform / Operating Platform (KPI snapshot),revenueManagementCapability,Capture operator-provided value for canonical read/write parity.,single-select,Needs Review,Potentially,Optional,Yes,Yes,Medium,Add UI control and validate canonical save/reload before demo.
salesPlatform,"Operator Setup - Governance, Delivery & Diligence",Sales Platform,Needs section assignment,salesPlatform,Capture operator-provided value for canonical read/write parity.,single-select,Needs Review,Potentially,Optional,Potentially,No/Unclear,Low/Medium,Can be queued after P0 completeness items.
activeCountries,Operator Setup - Platform & Markets,Active Countries,Markets & Footprint / Markets & Footprint (KPI snapshot),activeCountries,Capture operator-provided value for canonical read/write parity.,single-select,Needs Review,Potentially,Optional,Potentially,Yes,Medium,Add UI control and validate canonical save/reload before demo.
activeMarkets,Operator Setup - Platform & Markets,Active Markets / Cities,Markets & Footprint / Markets & Footprint (KPI snapshot),activeMarkets,Capture operator-provided value for canonical read/write parity.,single-select,Needs Review,Potentially,Optional,Potentially,Yes,Medium,Add UI control and validate canonical save/reload before demo.
brandsPortfolioDetail,Operator Setup - Platform & Markets,Brands Portfolio Detail,Needs section assignment,brandsPortfolioDetail,Capture operator-provided value for canonical read/write parity.,textarea,N/A,No,Optional,Potentially,No/Unclear,Low/Medium,Can be queued after P0 completeness items.
marketPresenceType,Operator Setup - Platform & Markets,Market Presence Type,Needs section assignment,marketPresenceType,Capture operator-provided value for canonical read/write parity.,single-select,Needs Review,Potentially,Optional,Potentially,No/Unclear,Low/Medium,Can be queued after P0 completeness items.
brandFamiliesOperated,Operator Setup - Profile & Positioning,Brand Families Operated,Needs section assignment,brandFamiliesOperated,Capture operator-provided value for canonical read/write parity.,single-select,Needs Review,Potentially,Optional,Potentially,No/Unclear,Low/Medium,Can be queued after P0 completeness items.
brand_soft_independent_narrative,Operator Setup - Profile & Positioning,brand_soft_independent_narrative,Needs section assignment,brand_soft_independent_narrative,Capture operator-provided value for canonical read/write parity.,textarea,N/A,No,Optional,Potentially,No/Unclear,Low/Medium,Can be queued after P0 completeness items.
