censusRecordId,censusName,censusCity,censusCountry,brandCluster,reasonBucket,suggestedNextAction,notes,topCandidatePropertyId,topCandidateNameSim,topCandidateAlreadyApplied
"rec0DeJ2QKwzRMvec","Park Hyatt Cancun","Cancun","Mexico","Park Hyatt","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit CUNIA sim=0.5 brandOk=false applied=true","CUNIA","0.5","true"
"rec0TJXu89bzNaiPG","Sunscape Sabor Cozumel Resort & Spa","Cozumel","Mexico","Sunscape","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","Best weak hit SUCUR sim=0.429 brandOk=true applied=true","SUCUR","0.429","true"
"rec2WUtRqTTTnGWEI","Cas en Bas By Dream Hotel Group","Soucis","Saint Lucia","Dreams","nonstandard_or_unbound_name","Confirm Hyatt Parent/Affiliation vs Unbound/third-party naming; only fill if official hyatt.com hotel URL exists with matching Property ID.","No official hyatt.com directory hit at safe similarity","","",""
"rec4dq4KqeShuQh6F","Secrets Macao Beach","Punta Cana","Dominican Republic","Secrets","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","Best weak hit SERPC sim=0.5 brandOk=true applied=true","SERPC","0.5","true"
"rec5dmWb6ApivzQ6J","Dreams Aventuras Riviera Maya","Quintana Roo","Mexico","Dreams","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","Best weak hit DREPA sim=0.4 brandOk=true applied=false","DREPA","0.4","false"
"rec6E2tHg9Ut8sjDD","Andaz Turks & Caicos Residences at Grace Bay","The Bright Settlement","Turks and Caicos Islands","Andaz","pipeline_or_unopened","Treat as pipeline / multi-phase / residences — re-check hyatt.com after opening; do not invent Property ID.","No safe directory row","","",""
"rec76rpSrgJ5cEwfk","Dreams Onyx Resorts & Spa","Punta Cana","Dominican Republic","Dreams","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","No directory near-match","","",""
"rec7SMGyfk7ZLyyuY","Dreams II Grand Island","Cancún","Mexico","Dreams","pipeline_or_unopened","Treat as pipeline / multi-phase / residences — re-check hyatt.com after opening; do not invent Property ID.","No safe directory row","","",""
"recBhqn0ZnW3kIBUg","NOW Grand Island","Cancún","Mexico","NOW","pipeline_or_unopened","Treat as pipeline / multi-phase / residences — re-check hyatt.com after opening; do not invent Property ID.","No safe directory row","HYVGI","0.4","true"
"recCFnIHZFp9kOS8u","Dreams St Lucia","Hellene","Saint Lucia","Dreams","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","No directory near-match","","",""
"recCoUnd3SAG4j1jw","Hyatt Regency Mexico City Insurgentes","Mexico City","Mexico","Hyatt Regency","census_duplicate_after_1to1","Duplicate Insurgentes census row — MEXRM already applied to another census record. Dedupe/merge steward decision; do not re-bind generic MEXHR.","MEXRM already applied; keep Insurgentes≠generic MEXHR block.","MEXRM","1","true"
"recCrKEvKV0MCtVag","Cas En Bas St. Lucia","Gros Islet","Saint Lucia","nonstandard_or_unbound","nonstandard_or_unbound_name","Confirm Hyatt Parent/Affiliation vs Unbound/third-party naming; only fill if official hyatt.com hotel URL exists with matching Property ID.","No official hyatt.com directory hit at safe similarity","","",""
"recE99IypkDZBj8JG","Hyatt Centric Playa Del Carmen","Playa Del Carmen","Mexico","Hyatt Centric","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit CUNPC sim=0.571 brandOk=false applied=false","CUNPC","0.571","false"
"recE9b02YFFr2PUbt","Grand Hyatt Los Cabos","Cabo San Lucas","Mexico","Grand Hyatt","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit SJDZS sim=0.6 brandOk=false applied=true","SJDZS","0.6","true"
"recGP45nA4VbhCDOr","Hyatt Centric Queretaro","Santiago de Querétaro","Mexico","Hyatt Centric","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit MVDHY sim=0.5 brandOk=true applied=true","MVDHY","0.5","true"
"recGqLYz2NGReDMtq","Hyatt Place Cancun Airport","Cancun","Mexico","Hyatt Place","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit AUAZA sim=0.6 brandOk=true applied=true","AUAZA","0.6","true"
"recI3Sz3vRaotVz63","Secrets The Tides Resort & Spa Punta Cana","Uvero Alto","Dominican Republic","Secrets","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","Best weak hit SETPC sim=0.5 brandOk=true applied=true","SETPC","0.5","true"
"recIUPC8F5gmjwthy","Sunscape Dorado Pacifico Ixtapa","Ixtapa Zihuatanejo","Mexico","Sunscape","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","Best weak hit SUDIX sim=0.5 brandOk=true applied=false","SUDIX","0.5","false"
"recJooaa7mIXOtr7T","Dreams Curaçao Resort, Spa & Casino","Willemstad","Curaçao","Dreams","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","Best weak hit DRCUR sim=0.5 brandOk=true applied=true","DRCUR","0.5","true"
"recKRFcn2CvupE4tO","Hyatt Regency Trinidad","Port of Spain","Trinidad and Tobago","Hyatt Regency","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit CTGRC sim=0.5 brandOk=true applied=true","CTGRC","0.5","true"
"recMSqfdobp1vL9Wn","Thompson Mexico City Reforma","Juárez","Mexico","Thompson","inclusive_missing_from_wayback","Absent from Wayback Inclusive CDX/sitemap harvest — retry CDX later or steward-paste from live hyatt.com when Kasada allows; never invent codes.","No directory near-match","","",""
"recNLJztYvxNuvIon","Grand Hyatt Grand Cayman","Grand Cayman","Cayman Islands","Grand Hyatt","classic_hyatt_missing_from_archive","Classic/lifestyle property missing from Wayback CDX — monitor hyatt.com openings; optional targeted CDX for region slug when property launches.","Best weak hit BOGGH sim=0.5 brandOk=true applied=true","BOGGH","0.5","true"
