field_id,airtable_field_name,value,value_type,allowed_options_if_any,confidence,source_url,source_date,notes
companyName,companyName,Hotel Equities (CALA),text,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Keep; had_value
companyDescription,companyDescription,"Hotel Equities (CALA) is the Caribbean & Latin America division of Hotel Equities, focused on third-party hotel and resort management in the region. It combines local leadership and regional operating support with Hotel Equities' broader management platform. The division is positioned around all-inclusive resorts and urban/lifestyle hotels.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; had_value
website,website,https://www.hotelequities.com/cala.htm,url,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; had_value
headquarters,headquarters,"Parent HQ: Atlanta, Georgia, United States; CALA in-market leadership in Miami, Mexico, Dominican Republic, and Washington DC area",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; had_value
yearEstablished,yearEstablished,2024,number,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; had_value
yearsInBusiness,yearsInBusiness,2,number,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; had_value
companySize,companySize,Medium (10-50 properties),single_select,,Verified,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Keep; had_value
companyTagline,companyTagline,Excellence in Hospitality,text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; had_value
companyHistory,companyHistory,"Hotel Equities was founded in 1989 and has grown into a hotel management and development company operating across the U.S., Canada, the Caribbean, and Latin America. In 2024, Hotel Equities formed a strategic partnership with Trust Hospitality to launch and scale its dedicated CALA division, with a focus on all-inclusive resorts and urban/lifestyle hotels. Industry press reported Juan Corvinos as president of the division in 2025.",text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; had_value
differentiators,differentiators,Local leadership in region; purpose-built CALA infrastructure; owner-aligned operating model; focus on all-inclusive and urban/lifestyle hotels; third-party management specialization; regional footprint across Caribbean and Latin America,text,,High,https://www.hotelequities.com/cala.htm,2026-05-27,tab=Company Profile; verdict=Change; had_value
