Canonical Brand Name,Alias / Source Brand Name,Parent Company,Active,Approved,Match Confidence,Requires Human Review,Proposal Reason,Open Hotels,Open Keys,Pipeline Hotels,Country Count,Parent Company In Census,Example Hotel Names,Example Countries,Existing Alias Status,Notes
ibis budget,ibis budget,Accor,no,no,High,no,exact_display: Exact normalized display name,65,11568,5,5,Accor,ibis budget Santos Gonzaga; ibis budget RJ Copacabana; ibis budget Barranquilla,Brazil; Chile; Colombia,missing,Proposal only — set Approved true in reviewed JSON to seed
Hyatt Ziva,Hyatt Ziva,Hyatt Hotels Corporation,no,no,High,no,exact_display: Exact normalized display name,6,2563,0,3,Hyatt Hotels Corporation,Hyatt Ziva Los Cabos; Hyatt Ziva Cap Cana; Hyatt Ziva Puerto Vallarta,Dominican Republic; Jamaica; Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Thompson Hotels,Thompson Hotels,Hyatt Hotels Corporation,no,no,High,no,exact_display: Exact normalized display name,4,361,3,1,Hyatt Hotels Corporation,Thompson Zihuatanejo; Thompson Playa del Carmen Main House; Thompson Playa del Carmen Beach House,Mexico,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Best Western Plus,Best Western Plus,BWH Hotels,no,no,High,no,exact_display: Exact normalized display name,24,2141,0,7,BWH Hotels,Best Western Plus Luna Del Mar; Best Western Plus Metepec & Suites; Best Western Plus Urban Larco Hotel,Belize; Colombia; El Salvador,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Best Western,Best Western,BWH Hotels,no,no,High,no,exact_display: Exact normalized display name,36,2619,0,8,BWH Hotels,Best Western Centro Cadereyta; Best Western El Cid; Best Western Cumbres Inn Cd Cuauhtemoc,Belize; Brazil; Chile,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Edition,Edition,Marriott International,no,no,High,no,exact_display: Exact normalized display name,1,182,2,1,Marriott International,The Riviera Maya EDITION at Kanai,Mexico,missing,Proposal only — set Approved true in reviewed JSON to seed
Courtyard by Marriott,Courtyard,Marriott International,no,no,Medium,yes,strip_by_operator: Exact match after removing by-operator suffix (Marriott/Hilton/Choice/Radisson),50,8088,14,19,Marriott International,Courtyard Mexico City Vallejo; Courtyard Mexico City Airport; Courtyard Mexicali,Aruba; Bahamas; Barbados,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Dreams Resorts & Spas,Dreams Resorts & Spas,Hyatt Hotels Corporation,no,no,High,no,exact_display: Exact normalized display name,24,10134,11,6,Hyatt Hotels Corporation,Dreams Macao Beach Punta Cana; Dreams Playa Mujeres Golf & Spa Resort; Dreams Vallarta Bay Resort & Spa,Colombia; Costa Rica; Curaçao,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Registry Collection Hotels,Registry Collection Hotels,Wyndham Hotels & Resorts,no,no,High,no,exact_display: Exact normalized display name,1,127,6,1,Wyndham Hotels & Resorts,"Bristol Panama, a Registry Collection Hotel",Panama,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Residence Inn by Marriott,Residence Inn,Marriott International,no,no,Medium,yes,strip_by_operator: Exact match after removing by-operator suffix (Marriott/Hilton/Choice/Radisson),9,1328,8,7,Marriott International,Residence Inn Rio De Janeiro Barra Da Tijuca; Residence Inn Panama City; Residence Inn Playa Del Carmen,Brazil; Colombia; Costa Rica,missing,Proposal only — set Approved true in reviewed JSON to seed
AC Hotels by Marriott,AC Hotels by Marriott,Marriott International,no,no,High,no,exact_display: Exact normalized display name,18,2866,7,10,Marriott International,AC Hotels by Marriott Panama City; AC Hotel Saltillo; AC Hotel Punta Cana,Chile; Colombia; Costa Rica,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Tribute Portfolio,Tribute Portfolio,Marriott International,no,no,High,no,exact_display: Exact normalized display name,6,635,5,5,Marriott International,"Hotel Rumbao, a Tribute Portfolio Hotel; Mystique Holbox by Royalton, A Tribute Portfolio Resort; Auberge du Vin, a Tribute Portfolio Hotel, Tupungato",Argentina; Bolivia; Colombia,missing,Proposal only — set Approved true in reviewed JSON to seed
Autograph Collection,Autograph Collection,Marriott International,no,no,High,no,exact_display: Exact normalized display name,43,12998,18,14,Marriott International,"Royalton Grenada, an Autograph Collection All-Inclusive Resort; Hacienda Del Mar Los Cabos, Autograph Collection; Royalton CHIC Cancun, An Autograph Collection All-Inclusive Resort - Adults Only",Antigua and Barbuda; Bahamas; Barbados,missing,Proposal only — set Approved true in reviewed JSON to seed
