id,proposed_airtable_table,proposed_field_name,proposed_field_type,proposed_options,reason_needed,dependent_pages_functions,go_live_priority,derived_vs_manual,recommended_sample_data,evidence_current_source,evidence_prior_report,conflict_prior_vs_current,confirmation_status
MF-1,Needs Review (likely Operator Setup split table),dataConfidenceLevel,Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Profile & Positioning / Operator Quick Facts,P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
MF-2,Needs Review (likely Operator Setup split table),skipped,Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Profile & Positioning / What They Are Best At,P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
MF-3,Needs Review (likely Operator Setup split table),skipped,Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Profile & Positioning / What They Are Best At,P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
MF-4,Needs Review (likely Operator Setup split table),skipped,Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Profile & Positioning / What They Are Best At,P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
MF-5,Needs Review (likely Operator Setup split table),skipped,Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Profile & Positioning / What They Are Best At,P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
MF-6,Needs Review (likely Operator Setup split table),skipped,Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Profile & Positioning / Why Owners Consider This Operator,P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
MF-7,Needs Review (likely Operator Setup split table),skipped,Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Profile & Positioning / Why Owners Consider This Operator,P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
MF-8,Needs Review (likely Operator Setup split table),skipped,Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Profile & Positioning / Why Owners Consider This Operator,P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
MF-9,Needs Review (likely Operator Setup split table),skipped,Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Profile & Positioning / Why Owners Consider This Operator,P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
MF-10,Needs Review (likely Operator Setup split table),regionsSupported,Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Markets & Footprint / Markets & Footprint (KPI snapshot),P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
MF-11,Needs Review (likely Operator Setup split table),"activeCountries, activeMarkets",Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Markets & Footprint / Three-Layer Market Experience,P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,Prior report says linked; current mapping not found,Needs Review
MF-12,Needs Review (likely Operator Setup split table),Leadership Languages (JSON),Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Leadership / Leadership Snapshot (KPIs),P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
MF-13,Needs Review (likely Operator Setup split table),Leadership Org Structure (JSON),Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Leadership / Organization Structure,P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
MF-14,Needs Review (likely Operator Setup split table),Leadership Team Depth (JSON),Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Leadership / Team Depth by Function,P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
MF-15,Needs Review (likely Operator Setup split table),Leadership Languages (JSON),Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Leadership / Language & Regional Capability,P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
MF-16,Needs Review (likely Operator Setup split table),Leadership Governance Cadence (JSON),Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Leadership / Governance & Communication Cadence,P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
MF-17,Needs Review (likely Operator Setup split table),Leadership Team Markets (JSON),Needs Review,,UI input key appears present but mapping to Operator Setup table/field is unconfirmed.,Leadership / Team Experience Markets,P0 if owner-facing; otherwise P1,Manual input (from My Operator UI),Add representative operator values for QA once mapping is confirmed.,Current UI + writer/build-sheet scan,operator-explorer-dna-ui-field-registry.csv,,Needs Review
