airtable_table,field_name,field_type,possible_duplicate_field,read_anywhere_current,write_anywhere_current,appears_in_api_payloads,appears_in_snapshots_or_docs,appears_in_scoring_logic,contains_data_check,removal_risk,recommendation,evidence_current_source,evidence_prior_report,conflict_prior_vs_current,confirmation_status
Operator Setup - Profile & Positioning,overview_signal_1_value,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_signal_2_value,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,overview_signal_3_value,singleLineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_narrative_compliance,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_narrative_relationship,multilineText,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_signal_audit,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_signal_reflag,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_signal_franchise_align,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,brand_signal_soft_retention,singleSelect,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
Operator Setup - Profile & Positioning,readyForInvestorPublication,checkbox,,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Not checked in this stage (non-destructive),Unknown,Needs business review (candidate legacy/unused),Current repo scan,operator-setup-field-coverage-diff.csv,,Needs Review
