Slot Key,Title,Body,Sort Order
"hero.benefit_zones","","Tagline: A Century Young. RTB (Americas narrative): for over 115 years Radisson has shaped hospitality in the Americas—classic service and modern comforts (verify exact wording with Legal/Comms).

Benefit zones & scalability: airports, conventions, resorts; kit-of-parts conversion; illustrative Americas segment mix from brochure: suburban 27, airport 18, resort 8, small metro 8, urban 6, interstate 6.

Loyalty naming is market-dependent: Choice Privileges where Choice-affiliated; Radisson Rewards where Radisson Hotel Group materials apply.",0
"hero.operator_compat","","Purpose fit: champion the enduring spirit of hospitality—innovating with purpose while holding to care and warmth. Operators who can deliver gracious, repeatable full-service (housekeeping, F&B fundamentals, front-desk recognition) without boutique design theater on every asset.

Best where the owner narrative is upscale-by-choice: creative, independent developers who need quality and flexibility, not a one-size-fits-all capex story.",0
"overview.scenarios","","Gateway and airport-adjacent repositioning where an independent or tired flag needs recognizable upscale retail, corporate transient access, and a loyalty story guests already know.

Regional hub and secondary-city conversions where capex is measured and the owner wants portfolio distribution plus realistic standards—not a one-off soft brand.

Mixed corporate/leisure markets where weekend compression matters: the commercial plan should lean on brand.com and the active loyalty program in your market (Choice Privileges under Choice-affiliated positioning in many Americas markets; Radisson Rewards where Radisson Hotel Group program rules apply).

Conversion programs where a kit-of-parts mindset matters: varying layouts, room sizes, HVAC and bathroom configurations—with retention of viable elements where possible to protect speed and cost.",0
"overview.scenario.1","Gateway & Airport-Adjacent Repositioning","Strong fit where an independent or tired flag needs recognizable upscale retail, reliable corporate transient access, and a loyalty narrative guests already recognize—without pretending every asset is a bespoke flagship.",0
"overview.scenario.2","Regional Hub & Secondary-City Conversion","Measured capex conversions in regional hubs and secondary cities where the sponsor wants portfolio distribution, clear full-service standards, and a realistic operating lane—not a one-off soft brand that leaves RFP and QA ambiguous.",0
"overview.scenario.3","Corporate–Leisure Compression & Loyalty-Led Retail","Markets where weekend compression and midweek corporate both matter: lean on brand.com and the active loyalty program your disclosure specifies (Choice Privileges under Choice-affiliated positioning in many Americas markets; Radisson Rewards where Radisson Hotel Group rules apply). Pair that retail story with conversion discipline—a kit-of-parts mindset across layouts, rooms, HVAC, and baths, retaining viable elements where possible to protect speed and cost.",0
"overview.why_value","","Brand on a Page — why this wins: We believe in the timelessness of hospitality. We exist to champion the enduring spirit of hospitality—innovating with purpose for evolving guest needs while holding fast to care and warmth.

Beacon of Hospitality: rekindling upscale with heritage charm and timeless service—injecting soul back into every stay.

Three pillars: Charming simplicity (signature elements, personal atmosphere, elevated amenities, personalized service—centered on what truly matters). Contemporary classic (American style and sensibility; classic features with subtle nostalgia and modern accents—intimately familiar). Gracious hospitality (welcoming, distinguished yet accessible; trusted-bartender mindset—traditional hospitality plus intuitive understanding of each guest’s needs).

Key experiences: functional guest rooms; flexible F&B (coffee counter, marketplace, dinette & bar); meeting space; 24/7 fitness with yoga/stretch zones.

Operationally: scalability (airport to resort), conversion kit-of-parts, efficiency (labor, F&B scope, maintainable rooms). Loyalty: Choice Privileges vs Radisson Rewards per disclosure.

Diligence: competitive set, capex truth, net channel contribution.",0
"overview.owner_experience","","Design target — Authentic Journeymen: individuals and groups aged 25–45, seeking simplicity and authenticity from their hotel stay. Frequent business travelers who value genuine connections and the human touch while expecting modern imperatives. They travel with a sense of authenticity—seeking genuine experiences and personal growth, focusing on the things that matter.

Insight: hotels today feel impersonal and standardized; guests appreciate modern efficiency but long for the authenticity and genuineness of a bygone era of travel.

Owner / operator lens: clear standards, predictable QA rhythms, retail paths that help the hotel show up where guests book. Sponsors align loyalty language to the governing agreement (Choice Privileges in many Americas narratives; Radisson Rewards where disclosure says so). Operators emphasize maintainable rooms and F&B scope that matches the lane. Regional teams: scalable upscale when the owner wants conversion speed and clarity—not boutique theater on every line item.",0
"overview.proof_operator","","Radisson’s operating profile fits owners who want CRS/brand.com participation, structured service standards, and loyalty-led direct contribution in markets where full-service upscale is the right competitive set—not every owner narrative is “design-led boutique.”",0
"overview.differentiators.identity","","Key differentiator — Beacon of Hospitality: rekindling upscale with heritage charm and timeless service; injecting soul back into every stay.

Experience — Charming simplicity: signature elements (e.g. classic diner) as the cornerstone of a personal atmosphere; every detail enhances the stay—from elevated amenities to personalized service—consistently unique and centered on what truly matters.

Design — Contemporary classic: rooted in American style and sensibility; classic hotel features reimagined with stylish, modern accents—intimately familiar.

Service — Gracious hospitality: welcoming atmosphere, distinguished yet accessible; team embodies a trusted-bartender mindset—traditional hospitality with intuitive understanding of each guest’s needs.

Scalable upscale: airports, convention centers, resorts—not a single-lane boutique story. Journeymen tension: modern efficiency without the cold, interchangeable standardized-hotel feel.",0
"overview.differentiators.commercial","","Conversion discipline: kit-of-parts thinking for varied layouts, baths, and MEP — retain viable elements where it protects speed and cost.

Operational efficiency: maintainable guest rooms and right-sized F&B versus heavier full-service models that overbuild the kitchen.

Loyalty-led retail: pair brand.com and member constructs with the program name and rules in your disclosure (Choice Privileges vs Radisson Rewards by market).

Commercial spine: CRS participation, structured standards, and QA rhythms owners can run repeatedly at scale — not campaign-only theater.",0
"overview.bestAt.1","","Kit-of-parts conversion for varied layouts, baths, and MEP — retain viable elements where they protect speed and cost, then align casegoods, built-ins, and public areas so the upscale story matches the asset on opening day.",0
"overview.bestAt.2","","Corridors where corporate midweek and leisure weekends both matter — the brand is built to win when compression is real: brand.com, structured transient retail, and loyalty narratives that match the governing agreement in your market.",0
"overview.bestAt.3","","Speed-to-flag favors operators who can execute full-service standards without bespoke theater on every line item — clear QA cadence, repeatable service model, and sponsor reporting tied to contribution, not vanity awareness alone.",0
"valueOwners.overview","","Value proposition (Brand on a Page framing):
Guests: a familiar stay for the individual who revels in the simplicity of meaningful touches and personalized service.
Owners: benefit from the reincarnation of the iconic hotel brand with global recognition, designed for universal appeal across markets.
Choice: a distinct yet highly scalable brand, prime for conversions, that appeals to upscale consumers.

Deal lens — owners are still buying scalable full-service: airports, conventions, resorts; kit-of-parts conversion; efficiency (labor, F&B scope, maintainable guest rooms). Economic case = contribution after costs: member constructs, channel mix, operating discipline vs competitive set. Standards and digital journeys should match what guests see in the booking path—prove fulfillment in service scores and repeat segments.",0
"valueOwners.scenarios","","Independent reflag: an upscale or soft-branded asset needs corporate access, recognizable loyalty, and brand.com strength in a market where independents under-index on RFP and repeat stays.

Tired upscale asset: repositioning pairs with a flag that gives credible full-service expectations while tightening commercial systems (pricing, retail, QA).

High-density branded corridors: Radisson competes where guests compare flags directly—differentiation is execution, location, and total cost of delivery.

Third-party operator–led: works when the operator has full-service upscale depth and can staff to brand standards without constant waivers.",0
"valueOwners.watchouts","","Markets with weak corporate demand or one-season leisure need honest ramp and rate plans—no flag replaces geography.

Heavy capex conversions must align service model and meetings product with Radisson standards early; late surprises compress ROI timelines.

Where OTAs dominate, owners should model net contribution after retail costs and member constructs—not headline RevPAR only.

Operator capability gaps show up in reviews and elite fulfillment first; solve staffing and training before leaning on campaigns.

Sponsor reporting: align KPIs to contribution, review trajectory, and direct mix—not vanity awareness metrics alone.",0
"valueOwners.lifecycle.1","","Portfolio screen: market tier, competitive set, capex envelope, and whether Radisson’s full-service promise matches the physical asset and labor market.",0
"valueOwners.lifecycle.2","","Conversion design: standards alignment, meetings and F&B narrative, PIP scope, and sequencing with financing and brand approvals.",1
