company_name,activeCountries,activeMarkets,marketPresenceType,serviceModelsSupported,chainScalesSupported,managementStructuresSupported,offeredServices,newBuildOpeningExperience,preOpeningSupportCapability,brandFamiliesOperated,conversionReflagExperience,softBrandLifestyleExperience,fbCapabilityLevel,revenueManagementCapability,salesPlatform,ownerReportingLevel,governanceCadence,minimumKeyCount,similarProjectCaseStudies,dataConfidenceLevel,sourceType,lastUpdatedDate,notes
Viento Sur Gestión Hotelera,Mexico; Costa Rica; Panama; Colombia,Cancún; Mexico City; Monterrey; Guadalajara; Panama City; Bogotá,Active operations,Select-service; Full-service,Upper Midscale; Upscale,Full third-party management; Pre-opening / transition support,Full hotel management; Revenue management; Sales; Owner reporting,Moderate,Standard,Marriott; Hilton; IHG,Moderate,Limited,Limited F&B,Centralized support,Regional sales,Monthly operating review,Monthly,80,,Operator-provided,Operator-provided,2026-05-25,Sample row — align with Operator Setup
Mangle Azul Hospitalidad,Mexico; Dominican Republic,Cancún; Riviera Maya; Santo Domingo,Active operations,Select-service; Resort,Upper Midscale; Upscale,Full third-party management,Full hotel management; F&B operations; Digital marketing,Moderate,Standard,Independent; Marriott,Moderate,Moderate,Moderate F&B,Centralized support,Regional sales,Monthly operating review,Quarterly,100,,Operator-provided,Internal research,2026-05-25,
Panamerican Lodging Partners S.A.,Mexico; Colombia; Peru; Chile,Mexico City; Bogotá; Lima; Santiago,Active operations,Full-service; Upper Upscale,Upper Midscale; Upscale; Upper Upscale,Full third-party management; Asset management support,Full hotel management; Asset management support; Owner reporting,Strong,Advanced,Marriott; Hilton; Hyatt,Strong,Moderate,Significant F&B,Advanced centralized platform,Global sales support,Institutional reporting,Board / investor reporting,150,,Verified,Operator-provided,2026-05-25,
Barrio Hotelero CDMX,Mexico,Mexico City; Monterrey; Guadalajara,Active operations,Select-service; Boutique,Upper Midscale; Upscale,Full third-party management,Full hotel management; Revenue management; Accounting / finance,Moderate,Standard,Independent; Soft brands / collections,Limited,Limited,Limited F&B,Property-level only,Local sales,Monthly operating review,Monthly,90,,Operator-provided,Operator-provided,2026-05-25,
Metro Lodging São Paulo,Mexico; Brazil,São Paulo; Rio de Janeiro; Mexico City,Prior experience,Select-service; Limited-service,Upper Midscale; Midscale,Full third-party management; Commercial-only support,Full hotel management; Revenue management,Moderate,Limited,Choice; Independent,Limited,None documented,Limited F&B,Centralized support,Digital / e-commerce,Basic owner reporting,Monthly,75,,Inferred,Public website,2026-05-25,
Cenote Azul Operadores,Mexico,Cancún; Riviera Maya,Active operations,Select-service; Resort,Upper Midscale,Full third-party management,Full hotel management; Pre-opening planning; Opening / transition support,Moderate,Standard,Marriott; Hilton,Moderate,Limited,Moderate F&B,Centralized support,Group sales,Monthly operating review,Monthly,85,,Operator-provided,Operator-provided,2026-05-25,
Antillano Norte Hospitality Group,Mexico; Puerto Rico; Dominican Republic,San Juan; Santo Domingo; Cancún,Active operations,Full-service,Upper Midscale; Upscale,Full third-party management,Full hotel management; Sales; Distribution / channel management,Moderate,Standard,Marriott; Hyatt,Moderate,Moderate,Moderate F&B,Centralized support,Regional sales,Monthly operating review,Quarterly,110,,Operator-provided,Prior project knowledge,2026-05-25,
Río Plata Hotel Partners,Mexico; Argentina; Chile,Buenos Aires; Santiago; Mexico City,Prior experience,Full-service; Lifestyle,Upscale; Upper Upscale,Full third-party management; Hybrid / project-specific,Full hotel management; Revenue management; Owner reporting,Strong,Advanced,Accor; Independent,Strong,Strong,Significant F&B,Advanced centralized platform,Global sales support,Institutional reporting,Asset-management style,120,,Operator-provided,Operator-provided,2026-05-25,
Oro Verde Lodge & Hotel Operators,Mexico; Costa Rica,Cancún; San José,Active operations,Boutique; Lifestyle,Upscale; Independent / Boutique,Full third-party management; Pre-opening / transition support,Full hotel management; F&B operations; Brand compliance support,Limited,Standard,Independent; Soft brands / collections,Limited,Strong,Lifestyle / experiential F&B,Property-level only,Local sales,Custom / project-specific,Custom / project-specific,60,,Operator-provided,Brand / owner conversation,2026-05-25,
Hotel Equities (CALA),Mexico; United States,Cancún; Atlanta; Houston,Active operations,Select-service; Focused-service,Upper Midscale; Midscale,Franchise support; Commercial-only support,Revenue management; Sales; Brand compliance support,Limited,Limited,Marriott; Hilton; Choice,Limited,None documented,Limited F&B,Third-party partner,Regional sales,Basic owner reporting,Quarterly,70,,Public-source,Public website,2026-05-25,
